,Mode,GeneA,GeneB,Score
0,max,839248,839248,7.356555976638783
1,max,839798,839798,1.4616028778772505
2,max,839799,839799,2.7515895760151294
3,max,839241,839241,8.888032347603172
4,max,832578,832578,2.5956188185803413
5,max,839796,839796,2.853149180127669
6,max,839797,839797,3.7723594038056123
7,max,839794,839794,2.424969963782068
8,max,839795,839795,3.4619594074941746
9,max,834306,834306,3.406899630311147
10,max,834304,834304,7.942924742315027
11,max,826764,826764,4.386834751998059
12,max,817013,817013,9.021563740227695
13,max,817014,817014,6.858298695621657
14,max,817017,817017,6.536657090439695
15,max,817016,817016,8.770249311946788
16,max,817019,817019,9.37816147010161
17,max,831066,831066,6.264646160891235
18,max,836043,836043,7.470966327816528
19,max,836040,836040,9.734684211543081
20,max,830512,830512,8.888032347603172
21,max,842288,842288,8.770249311946788
22,max,842284,842284,8.56723125388528
23,max,842280,842280,7.075653591172381
24,max,816495,816495,9.175714420054954
25,max,839424,839424,8.481921243047713
26,max,5008312,5008312,9.021563740227695
27,max,839422,839422,9.329219103434918
28,max,831230,831230,8.199506473759964
29,max,831232,831232,8.923753995326752
30,max,839429,839429,8.56723125388528
31,max,836222,836222,9.511540660228873
32,max,836227,836227,8.2795491814335
33,max,818561,818561,8.32841655966775
34,max,816722,816722,9.155017918787399
35,max,818566,818566,10.7644558312215
36,max,818568,818568,5.752538131674022
37,max,821003,821003,9.358035976848909
38,max,824073,824073,8.888032347603172
39,max,824072,824072,8.888032347603172
40,max,821006,821006,4.26979364516923
41,max,824077,824077,8.05640563011929
42,max,824079,824079,10.967473889283008
43,max,821008,821008,8.569578616484637
44,max,820752,820752,8.569578616484637
45,max,820979,820979,6.6107650625934165
46,max,827528,827528,5.552634068901876
47,max,827529,827529,8.125398501606242
48,max,820974,820974,6.446967717685189
49,max,827527,827527,7.1809368927653905
50,max,820202,820202,7.628961615292351
51,max,827251,827251,4.26979364516923
52,max,820200,820200,9.581179528163117
53,max,837794,837794,4.193250002925394
54,max,837797,837797,9.175068423607659
55,max,822457,822457,10.427831392103027
56,max,823959,823959,7.356555976638783
57,max,839933,839933,10.7644558312215
58,max,829589,829589,9.155017918787399
59,max,823953,823953,2.424969963782068
60,max,829587,829587,7.82001685205506
61,max,829584,829584,5.944174265616463
62,max,823956,823956,7.82001685205506
63,max,823955,823955,8.05640563011929
64,max,839939,839939,7.383954950826898
65,max,841065,841065,5.868705144616342
66,max,837575,837575,7.138832492793913
67,max,818159,818159,7.22980427099964
68,max,837579,837579,9.358035976848909
69,max,824695,824695,5.3340811912962645
70,max,824690,824690,2.424969963782068
71,max,824693,824693,10.071308650661555
72,max,841391,841391,5.3340811912962645
73,max,841395,841395,5.399129385521912
74,max,841394,841394,7.624471011196492
75,max,828183,828183,9.041537030983136
76,max,841399,841399,6.762781269892042
77,max,828188,828188,4.386834751998059
78,max,844288,844288,10.274326708723063
79,max,844289,844289,2.424969963782068
80,max,826698,826698,2.5976045221716535
81,max,844285,844285,9.665843542553391
82,max,844280,844280,2.5976045221716535
83,max,826692,826692,1.4616028778772505
84,max,826690,826690,7.1809368927653905
85,max,814733,814733,6.515808386674881
86,max,814735,814735,10.7644558312215
87,max,828238,828238,8.664888796288963
88,max,828236,828236,4.386834751998059
89,max,828230,828230,10.274326708723063
90,max,844770,844770,
91,max,815069,815069,9.868861600614899
92,max,815065,815065,10.274326708723063
93,max,815060,815060,6.276126007053865
94,max,844773,844773,
95,max,819579,819579,8.402524531821472
96,max,842876,842876,6.832630198497174
97,max,842873,842873,9.021563740227695
98,max,834173,834173,7.501737986483281
99,max,818706,818706,5.399129385521912
100,max,838650,838650,6.757122645989029
101,max,838651,838651,9.37816147010161
102,max,838652,838652,9.37816147010161
103,max,838653,838653,10.274326708723063
104,max,835554,835554,8.888032347603172
105,max,838659,838659,9.155017918787399
106,max,835556,835556,7.902102747794771
107,max,838877,838877,9.868861600614899
108,max,838870,838870,9.358035976848909
109,max,838300,838300,7.055450883854862
110,max,829346,829346,2.369662325889517
111,max,829347,829347,10.274326708723063
112,max,816269,816269,6.757122645989029
113,max,831424,831424,5.760509525276041
114,max,816261,816261,
115,max,816263,816263,9.155017918787399
116,max,839655,839655,8.569578616484637
117,max,818717,818717,8.888032347603172
118,max,818711,818711,2.424969963782068
119,max,818710,818710,6.978489842718734
120,max,818718,818718,5.715200461236378
121,max,829009,829009,8.482567239495008
122,max,829004,829004,4.836247399799867
123,max,843479,843479,7.748598064414807
124,max,834791,834791,9.37816147010161
125,max,830080,830080,1.4616028778772505
126,max,830082,830082,8.770249311946788
127,max,830088,830088,8.56723125388528
128,max,832027,832027,4.504874367156577
129,max,832791,832791,3.5666437489372247
130,max,832790,832790,9.358035976848909
131,max,825116,825116,5.1210351142252835
132,max,825111,825111,9.581179528163117
133,max,828439,828439,7.748598064414807
134,max,830337,830337,4.436366844995045
135,max,830336,830336,10.7644558312215
136,max,830335,830335,9.329219103434918
137,max,830330,830330,10.071308650661555
138,max,824198,824198,5.0441440546140885
139,max,817601,817601,8.134260545226791
140,max,817602,817602,1.4616028778772505
141,max,817603,817603,6.515960589172141
142,max,821960,821960,8.412928371560762
143,max,824441,824441,8.023034910116568
144,max,832243,832243,10.071308650661555
145,max,832242,832242,9.358035976848909
146,max,817608,817608,8.32841655966775
147,max,821965,821965,10.274326708723063
148,max,824195,824195,10.967473889283008
149,max,828759,828759,8.461870738227455
150,max,820560,820560,5.759686406953548
151,max,828750,828750,6.978489842718734
152,max,828751,828751,1.4616028778772505
153,max,820568,820568,6.395007978754479
154,max,3770411,3770411,9.868861600614899
155,max,824226,824226,8.56723125388528
156,max,821615,821615,2.424969963782068
157,max,824220,824220,3.464735678528157
158,max,836564,836564,4.440123893872757
159,max,836562,836562,7.075576377107564
160,max,841232,841232,10.022366283994863
161,max,841722,841722,5.159331399302564
162,max,841725,841725,9.175714420054954
163,max,841234,841234,4.415316839841703
164,max,837962,837962,7.825141706658643
165,max,837967,837967,9.021563740227695
166,max,833300,833300,8.818393479668927
167,max,827759,827759,10.022366283994863
168,max,2745766,2745766,
169,max,826595,826595,9.021563740227695
170,max,826593,826593,6.077124761061254
171,max,840450,840450,5.6444639101446
172,max,819292,819292,7.1809368927653905
173,max,819295,819295,10.022366283994863
174,max,822695,822695,3.8902573357682058
175,max,819296,819296,9.868861600614899
176,max,837211,837211,5.565958799955674
177,max,837210,837210,9.511540660228873
178,max,830539,830539,8.176539593496532
179,max,830538,830538,4.415316839841703
180,max,843641,843641,6.8726355331108735
181,max,843869,843869,10.071308650661555
182,max,834549,834549,8.287765228606757
183,max,825476,825476,9.358035976848909
184,max,834090,834090,8.818393479668927
185,max,825475,825475,6.832630198497174
186,max,834545,834545,10.071308650661555
187,max,825470,825470,6.264646160891235
188,max,825471,825471,6.264646160891235
189,max,844073,844073,8.125398501606242
190,max,844071,844071,3.5666437489372247
191,max,844076,844076,1.4616028778772505
192,max,844075,844075,8.077102131386843
193,max,844074,844074,7.709377351261526
194,max,832872,832872,9.665843542553391
195,max,844345,844345,9.021563740227695
196,max,832875,832875,10.7644558312215
197,max,834324,834324,6.757122645989029
198,max,834893,834893,4.449802616370733
199,max,834896,834896,7.991867108981719
