,Mode,GeneA,GeneB,Score
0,max,839248,180167,
1,max,839798,178250,
2,max,839799,172799,
3,max,839241,172794,
4,max,832578,178156,
5,max,839796,180168,
6,max,839797,182678,
7,max,839794,174924,
8,max,839795,188757,
9,max,834306,174926,
10,max,834304,171604,
11,max,826764,172554,
12,max,817013,177798,
13,max,817014,181340,
14,max,817017,181343,
15,max,817016,177223,
16,max,817019,181344,
17,max,831066,172939,
18,max,836043,181348,
19,max,836040,173023,
20,max,830512,184451,
21,max,842288,177229,
22,max,842284,176041,
23,max,842280,180264,
24,max,816495,180299,
25,max,839424,180568,
26,max,5008312,180291,
27,max,839422,181589,
28,max,831230,176168,
29,max,831232,189590,
30,max,839429,179677,
31,max,836222,171970,
32,max,836227,171973,
33,max,818561,3565765,
34,max,816722,171977,
35,max,818566,177007,
36,max,818568,171978,
37,max,821003,183851,
38,max,824073,181167,
39,max,824072,181166,
40,max,821006,185103,
41,max,824077,176883,
42,max,824079,173151,
43,max,821008,182229,
44,max,820752,173153,
45,max,820979,173873,
46,max,827528,174927,
47,max,827529,259434,
48,max,820974,177647,
49,max,827527,177646,
50,max,820202,177317,
51,max,827251,174322,
52,max,820200,181767,
53,max,837794,177318,
54,max,837797,191464,
55,max,822457,191467,
56,max,823959,176786,
57,max,839933,181019,
58,max,829589,181018,
59,max,823953,172174,
60,max,829587,189676,
61,max,829584,178812,
62,max,823956,182672,
63,max,823955,172849,
64,max,839939,172777,
65,max,841065,172775,
66,max,837575,172773,
67,max,818159,172770,
68,max,837579,172771,
69,max,824695,182458,
70,max,824690,188172,
71,max,824693,172779,
72,max,841391,175710,
73,max,841395,192081,
74,max,841394,190025,
75,max,828183,191687,
76,max,841399,180342,
77,max,828188,176061,
78,max,844288,176067,
79,max,844289,176068,
80,max,826698,191516,
81,max,844285,172016,
82,max,844280,178958,
83,max,826692,173837,
84,max,826690,173783,
85,max,814733,182816,
86,max,814735,175572,
87,max,828238,191199,
88,max,828236,179791,
89,max,828230,172213,
90,max,844770,176782,
91,max,815069,175467,
92,max,815065,175466,
93,max,815060,175464,
94,max,844773,172303,
95,max,819579,172302,
96,max,842876,172301,
97,max,842873,190336,
98,max,834173,182018,
99,max,818706,172309,
100,max,838650,172308,
101,max,838651,189617,
102,max,838652,176668,
103,max,838653,178954,
104,max,835554,176667,
105,max,838659,176660,
106,max,835556,176661,
107,max,838877,185868,
108,max,838870,173496,
109,max,838300,176466,
110,max,829346,173944,
111,max,829347,173945,
112,max,816269,184848,
113,max,831424,179183,
114,max,816261,179639,
115,max,816263,188728,
116,max,839655,179637,
117,max,818717,182124,
118,max,818711,179631,
119,max,818710,175790,
120,max,818718,175792,
121,max,829009,175795,
122,max,829004,175796,
123,max,843479,186108,
124,max,834791,172676,
125,max,830080,172941,
126,max,830082,172943,
127,max,830088,172942,
128,max,832027,172944,
129,max,832791,172946,
130,max,832790,172949,
131,max,825116,172948,
132,max,825111,178320,
133,max,828439,178325,
134,max,830337,178324,
135,max,830336,179522,
136,max,830335,188967,
137,max,830330,176208,
138,max,824198,179526,
139,max,817601,176200,
140,max,817602,180297,
141,max,817603,176206,
142,max,821960,176204,
143,max,824441,176205,
144,max,832243,178692,
145,max,832242,178696,
146,max,817608,178695,
147,max,821965,178926,
148,max,824195,178929,
149,max,828759,178928,
150,max,820560,178698,
151,max,828750,183859,
152,max,828751,174076,
153,max,820568,187747,
154,max,3770411,187502,
155,max,824226,175757,
156,max,821615,175089,
157,max,824220,178211,
158,max,836564,175677,
159,max,836562,190314,
160,max,841232,183226,
161,max,841722,175086,
162,max,841725,183220,
163,max,841234,175080,
164,max,837962,176516,
165,max,837967,176517,
166,max,833300,175868,
167,max,827759,176512,
168,max,2745766,175649,
169,max,826595,176511,
170,max,826593,189961,
171,max,840450,174279,
172,max,819292,175861,
173,max,819295,175860,
174,max,822695,175867,
175,max,819296,176519,
176,max,837211,178079,
177,max,837210,178078,
178,max,830539,174515,
179,max,830538,173237,
180,max,843641,178072,
181,max,843869,173232,
182,max,834549,179854,
183,max,825476,175886,
184,max,834090,179853,
185,max,825475,179850,
186,max,834545,179851,
187,max,825470,178857,
188,max,825471,178583,
189,max,844073,178850,
190,max,844071,178581,
191,max,844076,178852,
192,max,844075,180622,
193,max,844074,175772,
194,max,832872,174680,
195,max,844345,178102,
196,max,832875,178101,
197,max,834324,178452,
198,max,834893,178455,
199,max,834896,174685,
200,max,834321,174686,
201,max,834323,178104,
202,max,841453,178459,
203,max,838792,174689,
204,max,837290,174130,
205,max,819035,186725,
206,max,819036,259546,
207,max,819749,188340,
208,max,819039,171635,
209,max,816923,185264,
210,max,817039,185268,
211,max,817032,172704,
212,max,842116,189214,
213,max,842113,173309,
214,max,839226,188180,
215,max,839228,188265,
216,max,839229,179024,
217,max,834996,188189,
218,max,836028,173306,
219,max,835054,178043,
220,max,835051,172329,
221,max,835052,184199,
222,max,824477,177815,
223,max,835469,174358,
224,max,831217,183155,
225,max,831215,183403,
226,max,827965,266874,
227,max,827962,174350,
228,max,827960,180756,
229,max,832494,180750,
230,max,832496,173347,
231,max,821480,172783,
232,max,832490,181480,
233,max,818562,181481,
234,max,829618,181486,
235,max,829619,181484,
236,max,829616,172784,
237,max,829614,174911,
238,max,829613,173016,
239,max,816745,172549,
240,max,817293,174915,
241,max,817292,172545,
242,max,817630,173962,
243,max,821573,172542,
244,max,837432,180481,
245,max,821570,180285,
246,max,821577,181378,
247,max,821575,177254,
248,max,820229,184441,
249,max,820739,181807,
250,max,827500,181800,
251,max,820223,181801,
252,max,827505,177497,
253,max,837777,181578,
254,max,837775,177493,
255,max,824071,181577,
256,max,834442,181574,
257,max,840608,172276,
258,max,821005,180575,
259,max,818179,180577,
260,max,818178,187256,
261,max,837516,182593,
262,max,837517,177079,
263,max,818174,171949,
264,max,823426,171944,
265,max,828258,177073,
266,max,820759,171947,
267,max,814717,181398,
268,max,828254,173158,
269,max,814714,190137,
270,max,826364,177856,
271,max,827520,173162,
272,max,819215,173165,
273,max,841919,173167,
274,max,841918,173168,
275,max,819219,185003,
276,max,837791,181718,
277,max,843987,181719,
278,max,843985,266900,
279,max,834159,181712,
280,max,834158,181713,
281,max,825866,181711,
282,max,834154,181020,
283,max,816247,177107,
284,max,816246,181022,
285,max,816244,176902,
286,max,816242,177102,
287,max,838632,191329,
288,max,838630,181029,
289,max,838636,191456,
290,max,816249,186299,
291,max,843189,171646,
292,max,843181,177108,
293,max,843185,171857,
294,max,842855,172164,
295,max,842854,182286,
296,max,842851,175413,
297,max,842859,179684,
298,max,818771,172766,
299,max,818772,173028,
300,max,818775,190777,
301,max,843320,184611,
302,max,843453,171890,
303,max,816173,184613,
304,max,843329,172769,
305,max,825285,172768,
306,max,825284,185718,
307,max,840981,181626,
308,max,825286,181624,
309,max,825283,177764,
310,max,817996,181620,
311,max,842582,181621,
312,max,816177,192091,
313,max,842589,181158,
314,max,829134,190032,
315,max,832003,191528,
316,max,832000,185479,
317,max,832009,176072,
318,max,817197,176074,
319,max,817198,173558,
320,max,828417,191525,
321,max,828413,191526,
322,max,828412,181010,
323,max,830352,173793,
324,max,830355,173822,
325,max,830354,185679,
326,max,824422,173826,
327,max,824423,185670,
328,max,821900,185673,
329,max,821901,176463,
330,max,821907,190243,
331,max,821904,188549,
332,max,824425,175249,
333,max,821908,172372,
334,max,824429,172373,
335,max,817370,172370,
336,max,828733,172371,
337,max,828737,182058,
338,max,828735,191143,
339,max,819827,172374,
340,max,820500,172375,
341,max,820505,172219,
342,max,820507,187528,
343,max,821630,172218,
344,max,821631,185875,
345,max,821634,185873,
346,max,821635,179111,
347,max,828084,185870,
348,max,832669,176674,
349,max,831001,184873,
350,max,841742,173958,
351,max,841743,173955,
352,max,841749,173954,
353,max,827193,173956,
354,max,836582,176471,
355,max,836583,179296,
356,max,835850,173953,
357,max,829425,173952,
358,max,829427,176694,
359,max,829421,172216,
360,max,823851,179629,
361,max,822106,179198,
362,max,827777,179624,
363,max,827775,179627,
364,max,827773,174956,
365,max,830366,176229,
366,max,837187,186111,
367,max,837180,190148,
368,max,837188,174957,
369,max,2745709,190381,
370,max,840164,189639,
371,max,832114,172978,
372,max,840169,173587,
373,max,837238,175526,
374,max,830517,175255,
375,max,830515,172204,
376,max,815456,172977,
377,max,830511,172970,
378,max,828181,175252,
