,Mode,GeneA,GeneB,Score
0,max,839248,35540,
1,max,839798,35541,
2,max,839799,35234,
3,max,839241,35235,
4,max,832578,35232,
5,max,839796,35546,
6,max,839797,35547,
7,max,839794,35549,
8,max,839795,35239,
9,max,834306,35543,
10,max,834304,40144,
11,max,826764,35230,
12,max,817013,35231,
13,max,817014,36604,
14,max,817017,40140,
15,max,817016,40141,
16,max,817019,43875,
17,max,831066,33925,
18,max,836043,43873,
19,max,836040,43872,
20,max,830512,37223,
21,max,842288,37222,
22,max,842284,37221,
23,max,842280,37732,
24,max,816495,35564,
25,max,839424,37734,
26,max,5008312,3346209,
27,max,839422,32429,
28,max,831230,37763,
29,max,831232,3346206,
30,max,839429,3346201,
31,max,836222,32011,
32,max,836227,32017,
33,max,818561,32016,
34,max,816722,32015,
35,max,818566,32014,
36,max,818568,32019,
37,max,821003,32018,
38,max,824073,44791,
39,max,824072,44790,
40,max,821006,42838,
41,max,824077,42839,
42,max,824079,37798,
43,max,821008,42832,
44,max,820752,42833,
45,max,820979,42830,
46,max,827528,42831,
47,max,827529,37793,
48,max,820974,37792,
49,max,827527,37791,
50,max,820202,37790,
51,max,827251,38503,
52,max,820200,38502,
53,max,837794,38501,
54,max,837797,38508,
55,max,822457,36844,
56,max,823959,36845,
57,max,839933,36846,
58,max,829589,36843,
59,max,823953,36848,
60,max,829587,38644,
61,max,829584,38645,
62,max,823956,38647,
63,max,823955,38643,
64,max,839939,43717,
65,max,841065,36156,
66,max,837575,36154,
67,max,818159,36150,
68,max,837579,36158,
69,max,824695,36159,
70,max,824690,33850,
71,max,824693,33507,
72,max,841391,33852,
73,max,841395,33505,
74,max,841394,33502,
75,max,828183,33503,
76,max,841399,33857,
77,max,828188,33859,
78,max,844288,33509,
79,max,844289,41565,
80,max,826698,41567,
81,max,844285,41566,
82,max,844280,41562,
83,max,826692,41569,
84,max,826690,40857,
85,max,814733,49241,
86,max,814735,40966,
87,max,828238,40967,
88,max,828236,40740,
89,max,828230,40965,
90,max,844770,40963,
91,max,815069,40960,
92,max,815065,40745,
93,max,815060,40749,
94,max,844773,47219,
95,max,819579,47218,
96,max,842876,40327,
97,max,842873,251430,
98,max,834173,318949,
99,max,818706,39594,
100,max,838650,39593,
101,max,838651,39592,
102,max,838652,318947,
103,max,838653,39599,
104,max,835554,31230,
105,max,838659,31237,
106,max,835556,31235,
107,max,838877,31239,
108,max,838870,34558,
109,max,838300,34559,
110,max,829346,34554,
111,max,829347,34550,
112,max,816269,34551,
113,max,831424,44933,
114,max,816261,35939,
115,max,816263,35938,
116,max,839655,35931,
117,max,818717,35930,
118,max,818711,35933,
119,max,818710,35932,
120,max,818718,50417,
121,max,829009,35934,
122,max,829004,50415,
123,max,843479,44481,
124,max,834791,42889,
125,max,830080,31917,
126,max,830082,42885,
127,max,830088,41390,
128,max,832027,43477,
129,max,832791,43476,
130,max,832790,43460,
131,max,825116,43461,
132,max,825111,43466,
133,max,828439,43467,
134,max,830337,31904,
135,max,830336,31905,
136,max,830335,31902,
137,max,830330,31903,
138,max,824198,32225,
139,max,817601,32226,
140,max,817602,32221,
141,max,817603,32222,
142,max,821960,32228,
143,max,824441,41066,
144,max,832243,41829,
145,max,832242,41820,
146,max,817608,41822,
147,max,821965,41823,
148,max,824195,41824,
149,max,828759,43689,
150,max,820560,43682,
151,max,828750,43683,
152,max,828751,43681,
153,max,820568,246412,
154,max,3770411,36309,
155,max,824226,36308,
156,max,821615,36303,
157,max,824220,36301,
158,max,836564,36307,
159,max,836562,36306,
160,max,841232,36304,
161,max,841722,42481,
162,max,841725,42339,
163,max,841234,42484,
164,max,837962,42333,
165,max,837967,34421,
166,max,833300,48228,
167,max,827759,45879,
168,max,2745766,41359,
169,max,826595,48224,
170,max,826593,45875,
171,max,840450,48552,
172,max,819292,41350,
173,max,819295,41351,
174,max,822695,31169,
175,max,819296,38150,
176,max,837211,44653,
177,max,837210,42158,
178,max,830539,41179,
179,max,830538,41173,
180,max,843641,41176,
181,max,843869,41177,
182,max,834549,41174,
183,max,825476,40887,
184,max,834090,40886,
185,max,825475,53504,
186,max,834545,40888,
187,max,825470,53507,
188,max,825471,37305,
189,max,844073,37306,
190,max,844071,37300,
191,max,844076,37301,
