,Mode,GeneA,GeneB,Score
0,max,839248,114785,
1,max,839798,114783,
2,max,839799,221545,
3,max,839241,114781,
4,max,832578,221547,
5,max,839796,246176,
6,max,839797,28996,
7,max,839794,28991,
8,max,839795,148156,
9,max,834306,28999,
10,max,834304,28998,
11,max,826764,55293,
12,max,817013,55290,
13,max,817014,5989,
14,max,817017,55296,
15,max,817016,55297,
16,max,817019,55294,
17,max,831066,55295,
18,max,836043,5982,
19,max,836040,5983,
20,max,830512,5980,
21,max,842288,5981,
22,max,842284,51263,
23,max,842280,5987,
24,max,816495,5984,
25,max,839424,5985,
26,max,5008312,55344,
27,max,839422,55345,
28,max,831230,83549,
29,max,831232,55614,
30,max,839429,140730,
31,max,836222,55615,
32,max,836227,128872,
33,max,818561,128876,
34,max,816722,55610,
35,max,818566,53904,
36,max,818568,142940,
37,max,821003,83547,
38,max,824073,57484,
39,max,824072,6794,
40,max,821006,6795,
41,max,824077,6792,
42,max,824079,6790,
43,max,821008,57486,
44,max,820752,56126,
45,max,820979,56128,
46,max,827528,283807,
47,max,827529,85458,
48,max,820974,29940,
49,max,827527,270,
50,max,820202,55837,
51,max,827251,272,
52,max,820200,273,
53,max,837794,274,
54,max,837797,55833,
55,max,822457,276,
56,max,823959,278,
57,max,839933,279,
58,max,829589,55839,
59,max,823953,81853,
60,max,829587,1371,
61,max,829584,26122,
62,max,823956,84918,
63,max,823955,221960,
64,max,839939,57478,
65,max,841065,9529,
66,max,837575,9256,
67,max,818159,9525,
68,max,837579,9526,
69,max,824695,85359,
70,max,824690,9520,
71,max,824693,9253,
72,max,841391,9522,
73,max,841395,57473,
74,max,841394,26017,
75,max,828183,55291,
76,max,841399,1370,
77,max,828188,84126,
78,max,844288,84128,
79,max,844289,84129,
80,max,826698,1212,
81,max,844285,727897,
82,max,844280,64902,
83,max,826692,26025,
84,max,826690,10892,
85,max,814733,124359,
86,max,814735,203611,
87,max,828238,55299,
88,max,828236,133690,
89,max,828230,22874,
90,max,844770,147872,
91,max,815069,22870,
92,max,815065,22871,
93,max,815060,22872,
94,max,844773,22873,
95,max,819579,51260,
96,max,842876,22878,
97,max,842873,22879,
98,max,834173,84699,
99,max,818706,138046,
100,max,838650,84690,
101,max,838651,84693,
102,max,838652,3516,
