,Mode,GeneA,GeneB,Score
0,max,839248,23994,
1,max,839798,23996,
2,max,839799,23997,
3,max,839241,378462,
4,max,832578,19713,
5,max,839796,19712,
6,max,839797,625811,
7,max,839794,18087,
8,max,839795,286940,
9,max,834306,19718,
10,max,834304,11546,
11,max,826764,22668,
12,max,817013,26379,
13,max,817014,11545,
14,max,817017,244349,
15,max,817016,26374,
16,max,817019,22661,
17,max,831066,26371,
18,max,836043,26370,
19,max,836040,73016,
20,max,830512,214899,
21,max,842288,234582,
22,max,842284,107885,
23,max,842280,26572,
24,max,816495,22260,
25,max,839424,107392,
26,max,5008312,546695,
27,max,839422,19159,
28,max,831230,19158,
29,max,831232,73086,
30,max,839429,16423,
31,max,836222,19401,
32,max,836227,16671,
33,max,818561,19373,
34,max,816722,16679,
35,max,818566,16678,
36,max,818568,74838,
37,max,821003,56233,
38,max,824073,110310,
39,max,824072,12700,
40,max,821006,12703,
41,max,824077,12702,
42,max,824079,12705,
43,max,821008,12704,
44,max,820752,665113,
45,max,820979,668626,
46,max,827528,22003,
47,max,827529,235380,
48,max,820974,22004,
49,max,827527,27370,
50,max,820202,13602,
51,max,827251,27373,
52,max,820200,27374,
53,max,837794,192176,
54,max,837797,13609,
55,max,822457,83409,
56,max,823959,78092,
57,max,839933,23849,
58,max,829589,27176,
59,max,823953,65960,
60,max,829587,231214,
61,max,829584,20870,
62,max,823956,64704,
63,max,823955,64705,
64,max,839939,140546,
65,max,841065,64707,
66,max,837575,623094,
67,max,818159,75725,
68,max,837579,104662,
69,max,824695,16490,
70,max,824690,16492,
71,max,824693,233833,
72,max,841391,13542,
73,max,841395,13543,
74,max,841394,16706,
75,max,828183,13548,
76,max,841399,17758,
77,max,828188,11735,
78,max,844288,105000,
79,max,844289,22666,
80,max,826698,12018,
81,max,844285,69082,
82,max,844280,12015,
83,max,826692,74120,
84,max,826690,12017,
85,max,814733,74122,
86,max,814735,245828,
87,max,828238,12013,
88,max,828236,74126,
89,max,828230,17258,
90,max,844770,100017,
91,max,815069,26397,
92,max,815065,26396,
93,max,815060,26390,
94,max,844773,72074,
95,max,819579,52463,
96,max,842876,26399,
97,max,842873,15481,
98,max,834173,11764,
99,max,818706,17257,
100,max,838650,101943,
101,max,838651,19014,
102,max,838652,56195,
103,max,838653,18186,
104,max,835554,20740,
105,max,838659,20742,
106,max,835556,73495,
107,max,838877,100039163,
108,max,838870,104718,
109,max,838300,64290,
110,max,829346,67241,
111,max,829347,244667,
112,max,816269,233651,
113,max,831424,15201,
114,max,816261,52163,
115,max,816263,75617,
116,max,839655,64050,
117,max,818717,11636,
118,max,818711,75613,
119,max,818710,16818,
120,max,818718,74237,
121,max,829009,235567,
122,max,829004,330914,
123,max,843479,70069,
124,max,834791,19338,
125,max,830080,227656,
126,max,830082,21926,
127,max,830088,11614,
128,max,832027,71099,
129,max,832791,12122,
130,max,832790,12125,
131,max,825116,21929,
132,max,825111,23900,
133,max,828439,53607,
134,max,830337,53605,
135,max,830336,18458,
136,max,830335,53602,
137,max,830330,11949,
138,max,824198,14130,
139,max,817601,11947,
140,max,817602,18451,
141,max,817603,70247,
142,max,821960,18457,
143,max,824441,11941,
