,Mode,GeneA,GeneB,Score
0,max,839248,65096,
1,max,839798,313845,
2,max,839799,288924,
3,max,839241,25255,
4,max,832578,296369,
5,max,839796,24716,
6,max,839797,24715,
7,max,839794,24718,
8,max,839795,680423,
9,max,834306,94201,
10,max,834304,83532,
11,max,826764,300250,
12,max,817013,687506,
13,max,817014,60355,
14,max,817017,361532,
15,max,817016,287545,
16,max,817019,192179,
17,max,831066,81531,
18,max,836043,306636,
19,max,836040,292732,
20,max,830512,25663,
21,max,842288,64701,
22,max,842284,298066,
23,max,842280,57298,
24,max,816495,117526,
25,max,839424,94338,
26,max,5008312,308870,
27,max,839422,25113,
28,max,831230,308875,
29,max,831232,117096,
30,max,839429,687295,
31,max,836222,85327,
32,max,836227,80754,
33,max,818561,679712,
34,max,816722,307459,
35,max,818566,25591,
36,max,818568,25596,
37,max,821003,25595,
38,max,824073,64678,
39,max,824072,64532,
40,max,821006,24812,
41,max,824077,309696,
42,max,824079,63847,
43,max,821008,362923,
44,max,820752,450225,
45,max,820979,24887,
46,max,827528,308900,
47,max,827529,24888,
48,max,820974,64053,
49,max,827527,290864,
50,max,820202,309053,
51,max,827251,81757,
52,max,820200,81754,
53,max,837794,300079,
54,max,837797,499088,
55,max,822457,81753,
56,max,823959,305923,
57,max,839933,116698,
58,max,829589,100363379,
59,max,823953,81758,
60,max,829587,445442,
61,max,829584,252859,
62,max,823956,316221,
63,max,823955,252855,
64,max,839939,246310,
65,max,841065,301517,
66,max,837575,432358,
67,max,818159,289023,
68,max,837579,83589,
69,max,824695,161475,
70,max,824690,83585,
71,max,824693,29361,
72,max,841391,29365,
73,max,841395,29364,
74,max,841394,29367,
75,max,828183,80977,
76,max,841399,307926,
77,max,828188,84584,
78,max,844288,84580,
79,max,844289,170840,
80,max,826698,60666,
81,max,844285,252921,
82,max,844280,24159,
83,max,826692,170848,
84,max,826690,363707,
85,max,814733,316258,
86,max,814735,360471,
87,max,828238,24239,
88,max,828236,313934,
89,max,828230,59109,
90,max,844770,24231,
91,max,815069,24232,
92,max,815065,300813,
93,max,815060,24237,
94,max,844773,303353,
95,max,819579,29565,
96,max,842876,29564,
97,max,842873,29562,
98,max,834173,29560,
99,max,818706,83619,
100,max,838650,83618,
101,max,838651,84472,
102,max,838652,84476,
103,max,838653,84477,
104,max,835554,84478,
105,max,838659,84479,
106,max,835556,83613,
107,max,838877,60668,
108,max,838870,83614,
109,max,838300,29584,
110,max,829346,288444,
111,max,829347,361014,
112,max,816269,24525,
113,max,831424,24520,
114,max,816261,24521,
115,max,816263,296554,
116,max,839655,291609,
117,max,818717,363875,
118,max,818711,364398,
119,max,818710,83721,
120,max,818718,83722,
121,max,829009,171415,
122,max,829004,171410,
123,max,843479,171411,
124,max,834791,89817,
125,max,830080,89816,
126,max,830082,360652,
127,max,830088,24410,
128,max,832027,24413,
129,max,832791,59322,
130,max,832790,24418,
131,max,825116,361381,
132,max,825111,361831,
133,max,828439,156726,
134,max,830337,314384,
135,max,830336,287155,
136,max,830335,286936,
137,max,830330,261736,
138,max,824198,312703,
139,max,817601,308003,
140,max,817602,50671,
141,max,817603,361630,
142,max,821960,307042,
143,max,824441,361181,
144,max,832243,24708,
145,max,832242,24705,
146,max,817608,24703,
147,max,821965,500450,
148,max,824195,25729,
149,max,828759,25728,
150,max,820560,25058,
151,max,828750,25727,
152,max,828751,25054,
153,max,820568,65262,
154,max,3770411,25722,
155,max,824226,304791,
156,max,821615,364154,
157,max,824220,494445,
158,max,836564,361522,
159,max,836562,307594,
160,max,841232,81504,
161,max,841722,304315,
162,max,841725,306626,
163,max,841234,25615,
164,max,837962,25614,
165,max,837967,25617,
166,max,833300,64846,
167,max,827759,64845,
168,max,2745766,298012,
169,max,826595,302415,
170,max,826593,499655,
171,max,840450,116681,
172,max,819292,116685,
173,max,819295,682105,
174,max,822695,308869,
175,max,819296,25122,
176,max,837211,315461,
177,max,837210,25124,
178,max,830539,309196,
179,max,830538,309197,
180,max,843641,304488,
181,max,843869,117089,
182,max,834549,303241,
183,max,825476,312965,
184,max,834090,362938,
185,max,825475,297593,
186,max,834545,25715,
187,max,825470,24898,
188,max,825471,24896,
189,max,844073,24890,
190,max,844071,83688,
191,max,844076,85423,
192,max,844075,81767,
193,max,844074,81766,
194,max,832872,362738,
195,max,844345,304978,
196,max,832875,314598,
197,max,834324,122772,
198,max,834893,295607,
199,max,834896,313427,
200,max,834321,685451,
201,max,834323,64516,
202,max,841453,117254,
203,max,838792,314730,
204,max,837290,170922,
205,max,819035,445271,
206,max,819036,63879,
207,max,819749,26962,
208,max,819039,83519,
209,max,816923,29376,
210,max,817039,29374,
211,max,817032,317396,
212,max,842116,252939,
213,max,842113,170851,
214,max,839226,301442,
215,max,839228,246232,
216,max,839229,293852,
217,max,834996,288305,
218,max,836028,25441,
219,max,835054,113893,
220,max,835051,113894,
221,max,835052,498736,
222,max,824477,364729,
223,max,835469,363287,
224,max,831217,298648,
225,max,831215,171086,
226,max,827965,317646,
227,max,827962,29578,
228,max,827960,29579,
229,max,832494,288275,
230,max,832496,79011,
231,max,821480,257648,
232,max,832490,29577,
233,max,818562,84484,
234,max,829618,84487,
235,max,829619,84482,
236,max,829616,29595,
237,max,829614,29592,
238,max,829613,29593,
239,max,816745,29591,
240,max,817293,29598,
241,max,817292,29599,
242,max,817630,24551,
243,max,821573,364033,
244,max,837432,690366,
245,max,821570,24392,
246,max,821577,24391,
247,max,821575,287942,
248,max,820229,83731,
249,max,820739,89808,
250,max,827500,360643,
251,max,820223,298947,
252,max,827505,59312,
253,max,837777,360480,
254,max,837775,54296,
255,max,824071,29603,
256,max,834442,29600,
257,max,840608,286928,
258,max,821005,81673,
259,max,818179,286923,
260,max,818178,54292,
261,max,837516,64354,
262,max,837517,684097,
263,max,818174,287417,
264,max,823426,297566,
265,max,828258,192235,
266,max,820759,50662,
267,max,814717,296344,
268,max,828254,24778,
269,max,814714,266606,
270,max,826364,24771,
271,max,827520,266609,
272,max,819215,60331,
273,max,841919,65218,
274,max,841918,60335,
275,max,819219,25738,
276,max,837791,201097,
277,max,843987,25736,
278,max,843985,25737,
279,max,834159,25045,
280,max,834158,25731,
281,max,825866,81515,
282,max,834154,81516,
283,max,816247,500280,
284,max,816246,81513,
285,max,816244,65180,
286,max,816242,81518,
287,max,838632,361512,
288,max,838630,312607,
289,max,838636,192152,
290,max,816249,315139,
291,max,843189,24605,
292,max,843181,25135,
293,max,843185,691903,
