,Mode,GeneA,GeneB,Score
0,max,839248,9164920,
1,max,839798,9164921,
2,max,839799,9164922,
3,max,839241,9164923,
4,max,832578,9164925,
5,max,839796,9164927,
6,max,839797,855428,
7,max,839794,855429,
8,max,839795,855422,
9,max,834306,855423,
10,max,834304,855420,
11,max,826764,855421,
12,max,817013,855426,
13,max,817014,855427,
14,max,817017,855424,
15,max,817016,855425,
16,max,817019,853442,
17,max,831066,853115,
18,max,836043,853116,
19,max,836040,853117,
20,max,830512,853110,
21,max,842288,853447,
22,max,842284,853112,
23,max,842280,853445,
24,max,816495,853118,
25,max,839424,853119,
26,max,5008312,850373,
27,max,839422,854465,
28,max,831230,854467,
29,max,831232,854466,
30,max,839429,854461,
31,max,836222,854460,
32,max,836227,854463,
33,max,818561,854462,
34,max,816722,854469,
35,max,818566,854468,
36,max,818568,855848,
37,max,821003,855849,
38,max,824073,855844,
39,max,824072,855845,
40,max,821006,855846,
41,max,824077,855847,
42,max,824079,855840,
43,max,821008,855841,
44,max,820752,855842,
45,max,820979,855843,
46,max,827528,850410,
47,max,827529,851169,
48,max,820974,851168,
49,max,827527,850411,
50,max,820202,851163,
51,max,827251,851162,
52,max,820200,851161,
53,max,837794,851160,
54,max,837797,851167,
55,max,822457,851166,
56,max,823959,851164,
57,max,839933,850413,
58,max,829589,855174,
59,max,823953,855175,
60,max,829587,855177,
61,max,829584,850418,
62,max,823956,850419,
63,max,823955,850740,
64,max,839939,850741,
65,max,841065,850742,
66,max,837575,850743,
67,max,818159,850744,
68,max,837579,850745,
69,max,824695,850746,
70,max,824690,850747,
71,max,824693,850748,
72,max,841391,850749,
73,max,841395,855210,
74,max,841394,855213,
75,max,828183,855212,
76,max,841399,855215,
77,max,828188,855214,
78,max,844288,855217,
79,max,844289,855216,
80,max,826698,855219,
81,max,844285,855218,
82,max,844280,856306,
83,max,826692,855900,
84,max,826690,855903,
85,max,814733,856305,
86,max,814735,855905,
87,max,828238,856301,
88,max,828236,851273,
89,max,828230,856552,
90,max,844770,856807,
91,max,815069,856557,
92,max,815065,851276,
93,max,815060,856803,
94,max,844773,856802,
95,max,819579,852180,
96,max,842876,852181,
97,max,842873,852184,
98,max,834173,852185,
99,max,818706,852638,
100,max,838650,852187,
101,max,838651,852188,
102,max,838652,852189,
103,max,838653,852634,
104,max,835554,852635,
105,max,838659,852632,
106,max,835556,851279,
107,max,838877,852630,
108,max,838870,851629,
109,max,838300,856748,
110,max,829346,856749,
111,max,829347,856746,
112,max,816269,856744,
113,max,831424,856745,
114,max,816261,856742,
115,max,816263,856743,
116,max,839655,856740,
117,max,818717,856741,
118,max,818711,854920,
119,max,818710,854921,
120,max,818718,854922,
121,max,829009,854924,
122,max,829004,854925,
123,max,843479,854926,
124,max,834791,856905,
125,max,830080,854928,
126,max,830082,854929,
127,max,830088,853320,
128,max,832027,853327,
129,max,832791,856906,
130,max,832790,853325,
131,max,825116,853339,
132,max,825111,854678,
133,max,828439,854679,
134,max,830337,856907,
135,max,830336,854670,
136,max,830335,854671,
137,max,830330,854672,
138,max,824198,854673,
139,max,817601,854674,
140,max,817602,854675,
141,max,817603,854676,
142,max,821960,854677,
143,max,824441,852988,
144,max,832243,852989,
145,max,832242,852458,
146,max,817608,852459,
147,max,821965,852452,
148,max,824195,852453,
149,max,828759,852982,
150,max,820560,852983,
151,max,828750,852984,
152,max,828751,852457,
153,max,820568,852986,
154,max,3770411,852455,
155,max,824226,856298,
156,max,821615,856290,
157,max,824220,856291,
158,max,836564,856292,
159,max,836562,856293,
160,max,841232,856294,
161,max,841722,856295,
162,max,841725,856296,
163,max,841234,856297,
164,max,837962,1466492,
165,max,837967,1466494,
166,max,833300,853114,
167,max,827759,854236,
168,max,2745766,853441,
169,max,826595,853111,
170,max,826593,853589,
171,max,840450,853588,
172,max,819292,853587,
173,max,819295,853586,
174,max,822695,853585,
175,max,819296,853113,
176,max,837211,853583,
177,max,837210,853582,
178,max,830539,853581,
179,max,830538,853580,
180,max,843641,854313,
181,max,843869,854312,
182,max,834549,2746859,
183,max,825476,2746858,
184,max,834090,854646,
185,max,825475,854641,
186,max,834545,855988,
187,max,825470,855981,
188,max,825471,855980,
189,max,844073,855983,
190,max,844071,855982,
191,max,844076,855985,
192,max,844075,855984,
193,max,844074,855987,
194,max,832872,855986,
195,max,844345,854582,
196,max,832875,854583,
197,max,834324,854586,
198,max,834893,854584,
199,max,834896,850353,
200,max,834321,855180,
201,max,834323,850351,
202,max,841453,855182,
203,max,838792,855184,
204,max,837290,855187,
205,max,819035,855186,
206,max,819036,855189,
207,max,819749,850359,
208,max,819039,850358,
209,max,816923,853918,
210,max,817039,853919,
211,max,817032,853914,
212,max,842116,853916,
213,max,842113,853917,
214,max,839226,853910,
215,max,839228,853911,
216,max,839229,853912,
217,max,834996,850662,
218,max,836028,851400,
219,max,835054,851401,
220,max,835051,851403,
221,max,835052,851404,
222,max,824477,851406,
223,max,835469,851407,
224,max,831217,851408,
225,max,831215,851409,
226,max,827965,855116,
227,max,827962,851952,
228,max,827960,851482,
229,max,832494,851951,
230,max,832496,851484,
231,max,821480,851485,
232,max,832490,851486,
233,max,818562,851955,
234,max,829618,9164902,
235,max,829619,9164900,
236,max,829616,9164901,
237,max,829614,9164907,
238,max,829613,9164908,
239,max,816745,9164909,
240,max,817293,855404,
241,max,817292,855405,
242,max,817630,855406,
243,max,821573,855407,
244,max,837432,855400,
245,max,821570,855401,
246,max,821577,855402,
247,max,821575,855403,
248,max,820229,855408,
249,max,820739,855409,
250,max,827500,853468,
251,max,820223,853469,
252,max,827505,853464,
253,max,837777,853465,
254,max,837775,853466,
255,max,824071,853467,
256,max,834442,853460,
257,max,840608,853461,
258,max,821005,853462,
259,max,818179,853463,
260,max,818178,852845,
261,max,837516,852844,
262,max,837517,852847,
263,max,818174,852846,
264,max,823426,852843,
265,max,828258,852842,
266,max,820759,852848,
267,max,814717,856175,
268,max,828254,856174,
269,max,814714,856176,
270,max,826364,856171,
271,max,827520,856170,
272,max,819215,856179,
273,max,841919,856178,
274,max,841918,854119,
275,max,819219,854118,
276,max,837791,854449,
277,max,843987,854448,
278,max,843985,854447,
279,max,834159,854446,
280,max,834158,854117,
281,max,825866,854444,
282,max,834154,854443,
283,max,816247,854110,
284,max,816246,854441,
285,max,816244,854440,
286,max,816242,856474,
287,max,838632,851005,
288,max,838630,851554,
289,max,838636,851555,
290,max,816249,851550,
291,max,843189,850728,
292,max,843181,850722,
293,max,843185,850720,
294,max,842855,850721,
295,max,842854,850726,
296,max,842851,850727,
297,max,842859,850724,
298,max,818771,850725,
299,max,818772,850538,
300,max,818775,855017,
301,max,843320,855016,
302,max,843453,850534,
303,max,816173,855012,
304,max,843329,855239,
305,max,825285,855238,
306,max,825284,855232,
307,max,840981,855231,
308,max,825286,855230,
309,max,825283,855237,
310,max,817996,855236,
311,max,842582,855235,
312,max,816177,856413,
313,max,842589,852256,
314,max,829134,852257,
315,max,832003,852618,
316,max,832000,852619,
317,max,832009,852610,
318,max,817197,852611,
319,max,817198,852612,
320,max,828417,852614,
321,max,828413,852615,
322,max,828412,852616,
323,max,830352,852617,
324,max,830355,856768,
325,max,830354,856769,
326,max,824422,856760,
327,max,824423,856761,
328,max,821900,856763,
329,max,821901,856764,
330,max,821907,856765,
331,max,821904,856766,
332,max,824425,856767,
333,max,821908,854948,
334,max,824429,854949,
335,max,817370,854942,
336,max,828733,854943,
337,max,828737,854940,
338,max,828735,854941,
339,max,819827,854946,
340,max,820500,854944,
341,max,820505,854945,
342,max,820507,852474,
343,max,821630,852476,
344,max,821631,852477,
345,max,821634,852470,
346,max,821635,852471,
347,max,828084,852472,
348,max,832669,852478,
349,max,831001,852479,
350,max,841742,855192,
351,max,841743,850346,
352,max,841749,850641,
353,max,827193,855196,
354,max,836582,850341,
355,max,836583,852382,
356,max,835850,850342,
357,max,829425,852383,
358,max,829427,855195,
359,max,829421,854612,
360,max,823851,854616,
361,max,822106,854614,
362,max,827777,853705,
363,max,827775,853707,
364,max,827773,853706,
365,max,830366,853701,
366,max,837187,853700,
367,max,837180,853703,
368,max,837188,853702,
369,max,2745709,853709,
370,max,840164,853708,
371,max,832114,852389,
372,max,840169,855765,
373,max,837238,853924,
374,max,830517,851648,
375,max,830515,851649,
376,max,815456,851646,
377,max,830511,851647,
378,max,828181,851644,
379,max,843848,851645,
380,max,843845,851642,
381,max,843840,851643,
382,max,830636,851640,
383,max,825454,851641,
384,max,825455,851398,
385,max,838400,851399,
386,max,832857,851468,
387,max,832853,851469,
388,max,844096,851462,
389,max,844091,851391,
390,max,844093,851460,
391,max,816579,851461,
392,max,815907,851394,
393,max,834722,851467,
394,max,839362,851396,
395,max,816908,855035,
396,max,819019,855394,
397,max,819016,855395,
398,max,819015,855390,
399,max,819014,855392,
400,max,819011,855393,
401,max,819010,855398,
402,max,819151,855399,
403,max,842138,852289,
404,max,835697,852288,
405,max,835699,852283,
406,max,835698,852282,
407,max,839739,852280,
408,max,831582,852287,
409,max,831581,852286,
410,max,839208,852285,
411,max,839206,852284,
412,max,833729,852869,
413,max,833728,852868,
414,max,839203,852867,
415,max,836006,852866,
416,max,829207,852865,
417,max,835078,852864,
418,max,822566,852863,
419,max,818693,852862,
420,max,818691,852861,
421,max,818694,852860,
422,max,844281,856159,
423,max,827940,856158,
424,max,827943,856156,
425,max,829638,856155,
426,max,829639,856154,
427,max,835902,856153,
428,max,837752,856152,
429,max,839972,854136,
430,max,839970,854135,
431,max,841029,854134,
432,max,841028,854133,
433,max,837534,854131,
434,max,828668,854130,
435,max,837536,850331,
436,max,837530,854138,
437,max,837532,854429,
438,max,814736,854428,
439,max,837538,854421,
440,max,837539,854420,
441,max,820242,854423,
442,max,827568,854425,
443,max,820249,854424,
444,max,820718,854427,
445,max,818670,854426,
446,max,828481,851624,
447,max,828271,850704,
448,max,818673,850705,
449,max,828274,850706,
450,max,841687,850707,
451,max,841685,850700,
452,max,841682,850701,
453,max,841680,850702,
454,max,820866,850703,
455,max,841978,850708,
456,max,827384,850709,
457,max,827381,851435,
458,max,841972,851434,
459,max,841975,856421,
460,max,841974,851436,
461,max,820869,851623,
462,max,833534,851347,
463,max,833535,856426,
464,max,814997,856425,
465,max,815024,851344,
466,max,825842,851075,
467,max,816220,851074,
468,max,816225,851077,
469,max,816224,851348,
470,max,830525,851071,
471,max,820895,851070,
472,max,829380,851073,
473,max,837202,851078,
474,max,829382,851714,
475,max,829387,851717,
476,max,830520,851862,
477,max,844137,1500489,
478,max,842833,851712,
479,max,844135,1500487,
480,max,842835,852672,
481,max,844133,852673,
482,max,844130,852670,
483,max,842836,852676,
484,max,842838,852675,
485,max,818751,852678,
486,max,818754,852679,
487,max,843303,856702,
488,max,843305,856700,
489,max,838614,856704,
490,max,838343,856705,
491,max,835260,856708,
492,max,835261,856709,
493,max,835266,854964,
494,max,835264,854965,
495,max,838348,854966,
496,max,835269,854960,
497,max,839564,854962,
498,max,832063,854963,
499,max,832064,854968,
500,max,832068,854969,
501,max,839568,852498,
502,max,817173,852499,
503,max,817170,852496,
504,max,830372,852497,
505,max,830374,852494,
506,max,825150,852495,
507,max,825153,852492,
508,max,828475,852493,
509,max,828477,852491,
510,max,821381,852377,
511,max,821382,852376,
512,max,832289,2827706,
513,max,832288,855615,
514,max,843653,855616,
515,max,821388,855611,
516,max,824405,854639,
517,max,824407,855613,
518,max,821432,855612,
519,max,821921,854634,
520,max,832283,854635,
521,max,828714,854636,
522,max,828715,854637,
523,max,828716,854630,
524,max,828717,855618,
525,max,817317,855949,
526,max,828713,855948,
527,max,838966,855945,
528,max,842303,855944,
529,max,831398,855947,
530,max,831399,855946,
531,max,828556,855941,
532,max,842700,855940,
533,max,833880,855943,
534,max,833881,855942,
535,max,836616,853729,
536,max,828552,853728,
537,max,825030,853727,
538,max,831020,853725,
539,max,831021,853724,
540,max,831024,853723,
541,max,831025,853721,
542,max,831027,853720,
543,max,841765,851375,
544,max,841761,854090,
545,max,835875,854091,
546,max,835872,854092,
547,max,835871,854093,
548,max,820385,854094,
549,max,827173,854095,
550,max,830029,854096,
551,max,832763,854097,
552,max,5007942,854098,
553,max,839517,854099,
554,max,829404,856940,
555,max,829401,851661,
556,max,829400,851662,
557,max,839045,851663,
558,max,827710,851664,
559,max,827714,851665,
560,max,2745723,851666,
561,max,2745726,851667,
562,max,2745725,850397,
563,max,818036,850396,
564,max,818037,850395,
565,max,818034,850394,
566,max,818030,850392,
567,max,818031,850391,
568,max,840148,850399,
569,max,840410,850398,
570,max,840141,851916,
571,max,840412,851445,
572,max,844308,856490,
573,max,844304,851447,
574,max,837252,856496,
575,max,830575,851441,
576,max,837257,851442,
577,max,837256,851911,
578,max,843828,856498,
579,max,825437,856499,
580,max,834056,851448,
581,max,834057,851449,
582,max,843823,851918,
583,max,843827,851919,
584,max,834503,853823,
585,max,826447,855377,
586,max,823657,855375,
587,max,823650,855372,
588,max,823651,855373,
589,max,823652,852809,
590,max,830615,852801,
591,max,830616,852800,
592,max,830612,852803,
593,max,826449,852802,
594,max,838421,852805,
595,max,838424,852804,
596,max,822380,852806,
597,max,3768663,856138,
598,max,822388,856131,
599,max,819252,856130,
600,max,825385,856133,
601,max,825382,856132,
602,max,832503,856135,
603,max,816962,856134,
604,max,819785,856137,
605,max,819784,856136,
606,max,819783,854403,
607,max,816965,854150,
608,max,831629,854401,
609,max,819079,854152,
610,max,819070,854155,
611,max,819075,854154,
612,max,819077,854157,
613,max,838305,854156,
614,max,842157,854159,
615,max,842154,854158,
616,max,838289,854409,
617,max,838284,854408,
618,max,838281,850898,
619,max,838280,850894,
620,max,829245,850896,
621,max,822524,850897,
622,max,829241,850890,
623,max,829240,850891,
624,max,831565,850892,
625,max,818457,850893,
626,max,822529,1466518,
627,max,831560,1466514,
628,max,839771,1466516,
629,max,835011,1466517,
630,max,835010,1466510,
631,max,835015,1466511,
632,max,835016,1466513,
633,max,839481,855169,
634,max,827928,855167,
635,max,831422,850406,
636,max,827923,850403,
637,max,829652,850402,
638,max,821469,850401,
639,max,829651,855160,
640,max,829657,852186,
641,max,829654,852639,
642,max,816787,852636,
643,max,816784,852637,
644,max,816782,851059,
645,max,816780,851058,
646,max,837732,851057,
647,max,837733,851056,
648,max,837886,851055,
649,max,837888,851054,
650,max,832547,851052,
651,max,832542,851051,
652,max,832543,856311,
653,max,832540,856310,
654,max,839953,856452,
655,max,832549,856319,
656,max,817784,855931,
657,max,823287,852659,
658,max,836287,852128,
659,max,841786,852129,
660,max,841787,852654,
661,max,837084,852127,
662,max,837087,852124,
663,max,835233,856837,
664,max,824368,852650,
665,max,827435,852651,
666,max,817439,852652,
667,max,817437,852121,
668,max,817433,856838,
669,max,817432,856728,
670,max,820268,856729,
671,max,827541,856724,
672,max,826639,856725,
673,max,826635,856726,
674,max,826632,856727,
675,max,828297,856720,
676,max,828296,856721,
677,max,840316,856722,
678,max,841407,856723,
679,max,831817,854988,
680,max,841958,854989,
681,max,841409,854986,
682,max,831810,854987,
683,max,831813,854984,
684,max,820841,854985,
685,max,820842,854982,
686,max,827575,854983,
687,max,823827,854980,
688,max,833552,854981,
689,max,833559,851633,
690,max,827574,851632,
691,max,815008,856911,
692,max,815558,856910,
693,max,815006,851637,
694,max,815007,854927,
695,max,816206,851636,
696,max,843142,853323,
697,max,844110,856915,
698,max,844112,853322,
699,max,844117,851634,
700,max,842811,853326,
701,max,842810,855585,
702,max,843368,855584,
703,max,834260,855587,
704,max,843366,855586,
705,max,843367,855581,
706,max,843497,855580,
707,max,835244,855583,
708,max,838365,855589,
709,max,835240,855588,
710,max,838363,853102,
711,max,832048,853100,
712,max,839549,853529,
713,max,839548,853528,
714,max,839547,853298,
715,max,839014,853525,
716,max,839545,853296,
717,max,832733,853295,
718,max,828905,853294,
719,max,825172,853521,
720,max,828907,853292,
721,max,828457,853523,
722,max,828900,853290,
723,max,828903,853104,
724,max,817152,854221,
725,max,828909,855639,
726,max,828908,855638,
727,max,830399,855637,
728,max,830395,855636,
729,max,817334,855634,
730,max,817845,855633,
731,max,817332,855632,
732,max,819865,855631,
733,max,824170,855630,
734,max,821411,853748,
735,max,824173,853741,
736,max,817338,853743,
737,max,821416,853744,
738,max,818069,853747,
739,max,826998,853746,
740,max,838946,852980,
741,max,838947,852981,
742,max,842361,852450,
743,max,842360,852451,
744,max,830027,852456,
745,max,836637,852985,
746,max,831049,855967,
747,max,831042,855965,
748,max,831043,855964,
749,max,831046,855963,
750,max,827157,855962,
751,max,827154,855960,
752,max,827153,852987,
753,max,827159,855969,
754,max,827488,855968,
755,max,835813,851602,
756,max,835815,856923,
757,max,835816,851600,
758,max,827481,856921,
759,max,827480,851606,
760,max,827484,851607,
761,max,823812,851604,
762,max,844757,856925,
763,max,844754,851608,
764,max,823811,851609,
765,max,823817,854216,
766,max,844750,854217,
767,max,819959,854214,
768,max,821674,854212,
769,max,821675,854213,
770,max,824280,854210,
771,max,824281,854211,
772,max,821670,851930,
773,max,3770304,851931,
774,max,821673,851932,
775,max,829463,851933,
776,max,829462,851934,
777,max,820107,851935,
778,max,820102,851936,
779,max,816486,851937,
780,max,831202,851938,
781,max,818011,851939,
782,max,837344,855108,
783,max,840435,850515,
784,max,828868,855034,
785,max,825119,855037,
786,max,830804,850516,
787,max,830807,855031,
788,max,844324,855030,
789,max,830557,855033,
790,max,830800,855032,
791,max,844320,850519,
792,max,840123,850518,
793,max,830558,856926,
794,max,834078,855358,
795,max,825414,855359,
796,max,825415,855350,
797,max,834073,855352,
798,max,834077,855353,
799,max,826468,855355,
800,max,826469,855356,
801,max,819277,855357,
802,max,819273,852823,
803,max,819272,852822,
804,max,832890,852821,
805,max,829882,852356,
806,max,829880,852351,
807,max,818905,852826,
808,max,818903,852353,
809,max,818908,852824,
810,max,831607,852828,
811,max,816944,852359,
812,max,831609,852358,
813,max,816940,856113,
814,max,816943,856112,
815,max,843808,856111,
816,max,835657,856117,
817,max,842178,856115,
818,max,842174,856114,
819,max,842177,856119,
820,max,835658,853198,
821,max,831547,853199,
822,max,831546,853194,
823,max,831545,853195,
824,max,831542,853196,
825,max,835382,853197,
826,max,835386,853190,
827,max,839716,853191,
828,max,839717,853192,
829,max,839714,853193,
830,max,822505,854179,
831,max,839719,853584,
832,max,822503,854173,
833,max,817606,854170,
834,max,833768,854177,
835,max,834381,854176,
836,max,834387,854175,
837,max,833763,851013,
