,Mode,GeneA,GeneB,Score
0,max,839248,2539395,1.7773318333785646
1,max,839798,2539390,0.6062862672330082
2,max,839799,2539391,2.5956188185803413
3,max,839241,2539398,2.5956188185803413
4,max,832578,2539399,0.3281399235086412
5,max,839796,2538863,1.4616028778772505
6,max,839797,2540933,2.9075655547047314
7,max,839794,2539671,1.0037919276406344
8,max,839795,2543517,1.0037919276406344
9,max,834306,2539420,0.7242544553695501
10,max,834304,2542660,2.886148292220916
11,max,826764,2542664,0.9756549979569153
12,max,817013,2542665,0.6828121603386941
13,max,817014,2542666,2.375915615911464
14,max,817017,2542667,4.099499480312716
15,max,817016,2542668,1.4616028778772505
16,max,817019,2540935,1.0037919276406344
17,max,831066,2538892,0.8140947171877913
18,max,836043,2539247,1.7773318333785646
19,max,836040,2539240,2.7515895760151294
20,max,830512,2539242,3.240974518648003
21,max,842288,2539248,2.853149180127669
22,max,842284,2539249,3.1972682386937348
23,max,842280,2542067,3.346768802444746
24,max,816495,2542062,4.758883863186379
25,max,839424,2542069,3.642324931327433
26,max,5008312,2543623,2.93590709513069
27,max,839422,2543621,2.886148292220916
28,max,831230,2543627,3.9416706031589377
29,max,831232,2542489,2.886148292220916
30,max,839429,2542484,1.7773318333785646
31,max,836222,2542486,2.5956188185803413
32,max,836227,2542480,3.346768802444746
33,max,818561,2542482,2.5956188185803413
34,max,816722,2538913,1.0037919276406344
35,max,818566,2538912,1.24120095617269
36,max,818568,2538911,4.356777844565249
37,max,821003,2542247,2.5956188185803413
38,max,824073,2542244,3.4652874026800835
39,max,824072,2542242,1.8057986892881064
40,max,821006,2542240,0.9756549979569153
41,max,824077,2542393,3.2859135267234714
42,max,824079,2542395,3.4966801150879463
43,max,821008,2543281,2.3710876171277135
44,max,820752,2543280,4.193250002925394
45,max,820979,2539651,2.886148292220916
46,max,827528,2539650,1.0037919276406344
47,max,827529,2543539,2.2005699118132807
48,max,820974,2543538,2.3710876171277135
49,max,827527,2543537,2.4846651247286013
50,max,820202,2539659,4.255733494226829
51,max,827251,2539658,1.4616028778772505
52,max,820200,2538706,3.7463687911005126
53,max,837794,2542808,2.2005699118132807
54,max,837797,2539094,2.886148292220916
55,max,822457,2539090,3.4652874026800835
56,max,823959,2539093,2.4911712368776007
57,max,839933,2542802,1.0037919276406344
58,max,829589,2542804,2.674360048040541
59,max,823953,2538757,0.6828121603386941
60,max,829587,2542937,4.360881633286685
61,max,829584,2540899,0.7242544553695501
62,max,823956,2542933,0.20505409436917582
63,max,823955,2540894,1.0037919276406344
64,max,839939,2540896,2.9938105970923234
65,max,841065,2542938,1.667508146600408
66,max,837575,2542939,2.972167268992186
67,max,818159,2540875,0.0
68,max,837579,2540650,4.265513523280468
69,max,824695,2540873,1.0037919276406344
70,max,824690,2540656,0.6828121603386941
71,max,824693,2540655,4.470698899097146
72,max,841391,2540870,1.0037919276406344
73,max,841395,2541874,1.24120095617269
74,max,841394,2540659,2.129792673689812
75,max,828183,2541871,2.886148292220916
76,max,841399,2540879,5.3802252308827585
77,max,828188,2541873,1.4616028778772505
78,max,844288,2540097,3.1434278784267162
79,max,844289,2540099,1.0037919276406344
80,max,826698,2539479,1.0037919276406344
81,max,844285,2539470,2.6361284644372835
82,max,844280,2539477,1.0037919276406344
83,max,826692,2539474,1.4616028778772505
84,max,826690,2541677,2.2005699118132807
85,max,814733,2541674,1.0037919276406344
86,max,814735,2541675,1.7773318333785646
87,max,828238,2541672,5.34345638309567
88,max,828236,2541678,2.1110978525525868
89,max,828230,2541679,2.0284484466522823
90,max,844770,2540271,
91,max,815069,2540273,3.1972682386937348
92,max,815065,2540272,2.886148292220916
93,max,815060,2540274,1.4616028778772505
94,max,844773,2539507,
95,max,819579,2539506,3.917351369013949
96,max,842876,2539505,2.2005699118132807
97,max,842873,2539504,4.551497152248676
98,max,834173,2539503,1.4616028778772505
99,max,818706,2543523,1.5962909921899948
100,max,838650,2539509,0.9444042369274068
101,max,838651,2541450,3.464735678528157
102,max,838652,2541900,2.3710876171277135
103,max,838653,2541457,1.4616028778772505
104,max,835554,2541455,6.155289533910591
105,max,838659,2541908,5.740575310375224
106,max,835556,2540479,4.374566444089599
107,max,838877,3361462,1.24120095617269
108,max,838870,2540473,4.330215857998551
109,max,838300,2540472,2.8020401511004365
110,max,829346,2540471,0.0
111,max,829347,2540470,2.886148292220916
112,max,816269,2540475,1.4616028778772505
113,max,831424,2540474,2.3626361880147244
114,max,816261,3361317,
115,max,816263,2541298,4.656390268973011
116,max,839655,2541299,5.365355068403307
117,max,818717,2541297,2.013058558145415
118,max,818711,2541293,1.0037919276406344
119,max,818710,2540505,2.2005699118132807
120,max,818718,2542090,1.0037919276406344
121,max,829009,2541058,2.8543467850612276
122,max,829004,2541059,1.434644959269151
123,max,843479,2541056,2.5956188185803413
124,max,834791,2542097,2.271967162470355
125,max,830080,2541055,1.4616028778772505
126,max,830082,3361260,5.247162112675596
127,max,830088,3361261,1.24120095617269
128,max,832027,3361269,0.8140947171877913
129,max,832791,2539892,2.1062881876920767
130,max,832790,2538875,2.2005699118132807
131,max,825116,2538877,1.7347851136430636
132,max,825111,2539879,2.8906478579842
133,max,828439,2541547,2.7465327210016186
134,max,830337,2542129,1.0037919276406344
135,max,830336,2542128,3.5619403172195887
136,max,830335,2542655,3.1434278784267162
137,max,830330,2542126,2.5686138848286353
138,max,824198,2542657,2.2005699118132807
139,max,817601,2542651,1.24120095617269
140,max,817602,2542650,1.4616028778772505
141,max,817603,2542121,0.7242544553695501
142,max,821960,2539275,2.886148292220916
143,max,824441,2539277,4.055151490963201
144,max,832243,2542013,2.913904720148467
145,max,832242,2542011,2.5956188185803413
146,max,817608,2542015,2.725243997910777
147,max,821965,2540674,1.7773318333785646
148,max,824195,2542019,2.2005699118132807
149,max,828759,2543630,3.2859135267234714
