,Mode,GeneA,GeneB,Score
0,max,180167,839248,
1,max,178250,839798,
2,max,172799,839799,
3,max,172794,839241,
4,max,178156,832578,
5,max,180168,839796,
6,max,182678,839797,
7,max,174924,839794,
8,max,188757,839795,
9,max,174926,834306,
10,max,171604,834304,
11,max,172554,826764,
12,max,177798,817013,
13,max,181340,817014,
14,max,181343,817017,
15,max,177223,817016,
16,max,181344,817019,
17,max,172939,831066,
18,max,181348,836043,
19,max,173023,836040,
20,max,184451,830512,
21,max,177229,842288,
22,max,176041,842284,
23,max,180264,842280,
24,max,180299,816495,
25,max,180568,839424,
26,max,180291,5008312,
27,max,181589,839422,
28,max,176168,831230,
29,max,189590,831232,
30,max,179677,839429,
31,max,171970,836222,
32,max,171973,836227,
33,max,3565765,818561,
34,max,171977,816722,
35,max,177007,818566,
36,max,171978,818568,
37,max,183851,821003,
38,max,181167,824073,
39,max,181166,824072,
40,max,185103,821006,
41,max,176883,824077,
42,max,173151,824079,
43,max,182229,821008,
44,max,173153,820752,
45,max,173873,820979,
46,max,174927,827528,
47,max,259434,827529,
48,max,177647,820974,
49,max,177646,827527,
50,max,177317,820202,
51,max,174322,827251,
52,max,181767,820200,
53,max,177318,837794,
54,max,191464,837797,
55,max,191467,822457,
56,max,176786,823959,
57,max,181019,839933,
58,max,181018,829589,
59,max,172174,823953,
60,max,189676,829587,
61,max,178812,829584,
62,max,182672,823956,
63,max,172849,823955,
64,max,172777,839939,
65,max,172775,841065,
66,max,172773,837575,
67,max,172770,818159,
68,max,172771,837579,
69,max,182458,824695,
70,max,188172,824690,
71,max,172779,824693,
72,max,175710,841391,
73,max,192081,841395,
74,max,190025,841394,
75,max,191687,828183,
76,max,180342,841399,
77,max,176061,828188,
78,max,176067,844288,
79,max,176068,844289,
80,max,191516,826698,
81,max,172016,844285,
82,max,178958,844280,
83,max,173837,826692,
84,max,173783,826690,
85,max,182816,814733,
86,max,175572,814735,
87,max,191199,828238,
88,max,179791,828236,
89,max,172213,828230,
90,max,176782,844770,
91,max,175467,815069,
92,max,175466,815065,
93,max,175464,815060,
94,max,172303,844773,
95,max,172302,819579,
96,max,172301,842876,
97,max,190336,842873,
98,max,182018,834173,
99,max,172309,818706,
100,max,172308,838650,
101,max,189617,838651,
102,max,176668,838652,
103,max,178954,838653,
104,max,176667,835554,
105,max,176660,838659,
106,max,176661,835556,
107,max,185868,838877,
108,max,173496,838870,
109,max,176466,838300,
110,max,173944,829346,
111,max,173945,829347,
112,max,184848,816269,
113,max,179183,831424,
114,max,179639,816261,
115,max,188728,816263,
116,max,179637,839655,
117,max,182124,818717,
118,max,179631,818711,
119,max,175790,818710,
120,max,175792,818718,
121,max,175795,829009,
122,max,175796,829004,
123,max,186108,843479,
124,max,172676,834791,
125,max,172941,830080,
126,max,172943,830082,
127,max,172942,830088,
128,max,172944,832027,
129,max,172946,832791,
130,max,172949,832790,
131,max,172948,825116,
132,max,178320,825111,
133,max,178325,828439,
134,max,178324,830337,
135,max,179522,830336,
136,max,188967,830335,
137,max,176208,830330,
138,max,179526,824198,
139,max,176200,817601,
140,max,180297,817602,
141,max,176206,817603,
142,max,176204,821960,
143,max,176205,824441,
144,max,178692,832243,
145,max,178696,832242,
146,max,178695,817608,
