,Mode,GeneA,GeneB,Score
0,max,180167,180167,
1,max,178250,178250,
2,max,172799,172799,
3,max,172794,172794,
4,max,178156,178156,
5,max,180168,180168,
6,max,182678,182678,
7,max,174924,174924,
8,max,188757,188757,
9,max,174926,174926,
10,max,171604,171604,
11,max,172554,172554,
12,max,177798,177798,
13,max,181340,181340,
14,max,181343,181343,
15,max,177223,177223,
16,max,181344,181344,
17,max,172939,172939,
18,max,181348,181348,
19,max,173023,173023,
20,max,184451,184451,
21,max,177229,177229,
22,max,176041,176041,
23,max,180264,180264,
24,max,180299,180299,
25,max,180568,180568,
26,max,180291,180291,
27,max,181589,181589,
28,max,176168,176168,
29,max,189590,189590,
30,max,179677,179677,
31,max,171970,171970,
32,max,171973,171973,
33,max,3565765,3565765,
34,max,171977,171977,
35,max,177007,177007,
36,max,171978,171978,
37,max,183851,183851,
38,max,181167,181167,
39,max,181166,181166,
40,max,185103,185103,
41,max,176883,176883,
42,max,173151,173151,
43,max,182229,182229,
44,max,173153,173153,
45,max,173873,173873,
46,max,174927,174927,
47,max,259434,259434,
48,max,177647,177647,
49,max,177646,177646,
50,max,177317,177317,
51,max,174322,174322,
52,max,181767,181767,
53,max,177318,177318,
54,max,191464,191464,
55,max,191467,191467,
56,max,176786,176786,
57,max,181019,181019,
58,max,181018,181018,
59,max,172174,172174,
60,max,189676,189676,
61,max,178812,178812,
62,max,182672,182672,
63,max,172849,172849,
64,max,172777,172777,
65,max,172775,172775,
66,max,172773,172773,
67,max,172770,172770,
68,max,172771,172771,
69,max,182458,182458,
70,max,188172,188172,
71,max,172779,172779,
72,max,175710,175710,
73,max,192081,192081,
74,max,190025,190025,
75,max,191687,191687,
76,max,180342,180342,
77,max,176061,176061,
78,max,176067,176067,
79,max,176068,176068,
80,max,191516,191516,
81,max,172016,172016,
82,max,178958,178958,
83,max,173837,173837,
84,max,173783,173783,
85,max,182816,182816,
86,max,175572,175572,
87,max,191199,191199,
88,max,179791,179791,
89,max,172213,172213,
90,max,176782,176782,
91,max,175467,175467,
92,max,175466,175466,
93,max,175464,175464,
94,max,172303,172303,
95,max,172302,172302,
96,max,172301,172301,
97,max,190336,190336,
98,max,182018,182018,
99,max,172309,172309,
100,max,172308,172308,
101,max,189617,189617,
102,max,176668,176668,
103,max,178954,178954,
104,max,176667,176667,
105,max,176660,176660,
106,max,176661,176661,
107,max,185868,185868,
108,max,173496,173496,
109,max,176466,176466,
110,max,173944,173944,
111,max,173945,173945,
112,max,184848,184848,
113,max,179183,179183,
114,max,179639,179639,
115,max,188728,188728,
116,max,179637,179637,
117,max,182124,182124,
118,max,179631,179631,
119,max,175790,175790,
120,max,175792,175792,
121,max,175795,175795,
122,max,175796,175796,
123,max,186108,186108,
124,max,172676,172676,
125,max,172941,172941,
126,max,172943,172943,
127,max,172942,172942,
128,max,172944,172944,
129,max,172946,172946,
130,max,172949,172949,
131,max,172948,172948,
132,max,178320,178320,
133,max,178325,178325,
134,max,178324,178324,
135,max,179522,179522,
136,max,188967,188967,
137,max,176208,176208,
138,max,179526,179526,
139,max,176200,176200,
140,max,180297,180297,
141,max,176206,176206,
142,max,176204,176204,
143,max,176205,176205,
144,max,178692,178692,
145,max,178696,178696,
146,max,178695,178695,
147,max,178926,178926,
148,max,178929,178929,
149,max,178928,178928,
150,max,178698,178698,
151,max,183859,183859,
152,max,174076,174076,
153,max,187747,187747,
154,max,187502,187502,
155,max,175757,175757,
156,max,175089,175089,
157,max,178211,178211,
158,max,175677,175677,
159,max,190314,190314,
160,max,183226,183226,
161,max,175086,175086,
162,max,183220,183220,
163,max,175080,175080,
164,max,176516,176516,
165,max,176517,176517,
166,max,175868,175868,
167,max,176512,176512,
168,max,175649,175649,
169,max,176511,176511,
170,max,189961,189961,
171,max,174279,174279,
172,max,175861,175861,
173,max,175860,175860,
174,max,175867,175867,
175,max,176519,176519,
176,max,178079,178079,
177,max,178078,178078,
178,max,174515,174515,
179,max,173237,173237,
180,max,178072,178072,
181,max,173232,173232,
182,max,179854,179854,
183,max,175886,175886,
184,max,179853,179853,
185,max,179850,179850,
186,max,179851,179851,
187,max,178857,178857,
188,max,178583,178583,
189,max,178850,178850,
190,max,178581,178581,
191,max,178852,178852,
192,max,180622,180622,
193,max,175772,175772,
194,max,174680,174680,
195,max,178102,178102,
196,max,178101,178101,
197,max,178452,178452,
198,max,178455,178455,
199,max,174685,174685,
200,max,174686,174686,
201,max,178104,178104,
202,max,178459,178459,
203,max,174689,174689,
204,max,174130,174130,
205,max,186725,186725,
206,max,259546,259546,
207,max,188340,188340,
208,max,171635,171635,
209,max,185264,185264,
210,max,185268,185268,
211,max,172704,172704,
212,max,189214,189214,
213,max,173309,173309,
214,max,188180,188180,
215,max,188265,188265,
216,max,179024,179024,
217,max,188189,188189,
218,max,173306,173306,
219,max,178043,178043,
220,max,172329,172329,
221,max,184199,184199,
222,max,177815,177815,
223,max,174358,174358,
224,max,183155,183155,
225,max,183403,183403,
226,max,266874,266874,
227,max,174350,174350,
228,max,180756,180756,
229,max,180750,180750,
230,max,173347,173347,
231,max,172783,172783,
232,max,181480,181480,
233,max,181481,181481,
234,max,181486,181486,
235,max,181484,181484,
236,max,172784,172784,
237,max,174911,174911,
238,max,173016,173016,
239,max,172549,172549,
240,max,174915,174915,
241,max,172545,172545,
242,max,173962,173962,
243,max,172542,172542,
244,max,180481,180481,
245,max,180285,180285,
246,max,181378,181378,
247,max,177254,177254,
248,max,184441,184441,
249,max,181807,181807,
250,max,181800,181800,
251,max,181801,181801,
252,max,177497,177497,
253,max,181578,181578,
254,max,177493,177493,
255,max,181577,181577,
256,max,181574,181574,
257,max,172276,172276,
258,max,180575,180575,
259,max,180577,180577,
260,max,187256,187256,
261,max,182593,182593,
262,max,177079,177079,
263,max,171949,171949,
264,max,171944,171944,
265,max,177073,177073,
266,max,171947,171947,
267,max,181398,181398,
268,max,173158,173158,
269,max,190137,190137,
270,max,177856,177856,
271,max,173162,173162,
272,max,173165,173165,
273,max,173167,173167,
274,max,173168,173168,
275,max,185003,185003,
276,max,181718,181718,
277,max,181719,181719,
278,max,266900,266900,
279,max,181712,181712,
280,max,181713,181713,
281,max,181711,181711,
282,max,181020,181020,
283,max,177107,177107,
284,max,181022,181022,
285,max,176902,176902,
286,max,177102,177102,
287,max,191329,191329,
288,max,181029,181029,
289,max,191456,191456,
290,max,186299,186299,
291,max,171646,171646,
292,max,177108,177108,
293,max,171857,171857,
294,max,172164,172164,
295,max,182286,182286,
296,max,175413,175413,
297,max,179684,179684,
298,max,172766,172766,
299,max,173028,173028,
300,max,190777,190777,
301,max,184611,184611,
302,max,171890,171890,
303,max,184613,184613,
304,max,172769,172769,
305,max,172768,172768,
306,max,185718,185718,
307,max,181626,181626,
308,max,181624,181624,
309,max,177764,177764,
310,max,181620,181620,
311,max,181621,181621,
312,max,192091,192091,
313,max,181158,181158,
314,max,190032,190032,
315,max,191528,191528,
316,max,185479,185479,
317,max,176072,176072,
318,max,176074,176074,
319,max,173558,173558,
320,max,191525,191525,
321,max,191526,191526,
322,max,181010,181010,
323,max,173793,173793,
324,max,173822,173822,
325,max,185679,185679,
326,max,173826,173826,
327,max,185670,185670,
328,max,185673,185673,
329,max,176463,176463,
330,max,190243,190243,
331,max,188549,188549,
332,max,175249,175249,
333,max,172372,172372,
334,max,172373,172373,
335,max,172370,172370,
336,max,172371,172371,
337,max,182058,182058,
338,max,191143,191143,
339,max,172374,172374,
340,max,172375,172375,
341,max,172219,172219,
342,max,187528,187528,
343,max,172218,172218,
344,max,185875,185875,
345,max,185873,185873,
346,max,179111,179111,
347,max,185870,185870,
348,max,176674,176674,
349,max,184873,184873,
350,max,173958,173958,
351,max,173955,173955,
352,max,173954,173954,
353,max,173956,173956,
354,max,176471,176471,
355,max,179296,179296,
356,max,173953,173953,
357,max,173952,173952,
358,max,176694,176694,
359,max,172216,172216,
360,max,179629,179629,
361,max,179198,179198,
362,max,179624,179624,
363,max,179627,179627,
364,max,174956,174956,
365,max,176229,176229,
366,max,186111,186111,
367,max,190148,190148,
368,max,174957,174957,
369,max,190381,190381,
370,max,189639,189639,
371,max,172978,172978,
372,max,173587,173587,
373,max,175526,175526,
374,max,175255,175255,
375,max,172204,172204,
376,max,172977,172977,
377,max,172970,172970,
378,max,175252,175252,
379,max,172201,172201,
380,max,183628,183628,
381,max,179533,179533,
382,max,179535,179535,
383,max,179534,179534,
384,max,179537,179537,
385,max,176211,176211,
386,max,176210,176210,
387,max,172992,172992,
388,max,172993,172993,
389,max,178669,178669,
390,max,178914,178914,
391,max,179440,179440,
392,max,178912,178912,
393,max,182626,182626,
394,max,191847,191847,
395,max,180127,180127,
396,max,182968,182968,
397,max,259801,259801,
398,max,178260,178260,
399,max,174232,174232,
400,max,189950,189950,
401,max,174234,174234,
402,max,174236,174236,
403,max,174239,174239,
404,max,174238,174238,
405,max,189959,189959,
406,max,172074,172074,
407,max,176504,176504,
408,max,175638,175638,
409,max,176506,176506,
410,max,176503,176503,
411,max,176854,176854,
412,max,175630,175630,
413,max,176858,176858,
414,max,175636,175636,
415,max,175637,175637,
416,max,175634,175634,
417,max,173229,173229,
418,max,182949,182949,
419,max,184295,184295,
420,max,178006,178006,
421,max,178007,178007,
422,max,182945,182945,
423,max,183097,183097,
424,max,3565259,3565259,
425,max,179841,179841,
426,max,179842,179842,
427,max,172981,172981,
428,max,178863,178863,
429,max,187080,187080,
430,max,184487,184487,
431,max,183098,183098,
432,max,178208,178208,
433,max,180969,180969,
434,max,180616,180616,
435,max,187645,187645,
436,max,180611,180611,
437,max,180612,180612,
438,max,180961,180961,
439,max,179997,179997,
440,max,174129,174129,
441,max,174699,174699,
442,max,174698,174698,
443,max,174697,174697,
444,max,174124,174124,
445,max,188640,188640,
446,max,174121,174121,
447,max,179375,179375,
448,max,179999,179999,
449,max,174690,174690,
450,max,171627,171627,
451,max,171621,171621,
452,max,173311,173311,
453,max,178711,178711,
454,max,172826,172826,
455,max,189773,189773,
456,max,173319,173319,
457,max,183700,183700,
458,max,181961,181961,
459,max,174247,174247,
460,max,180952,180952,
461,max,178482,178482,
462,max,3564942,3564942,
463,max,190954,190954,
464,max,177800,177800,
465,max,179693,179693,
466,max,177808,177808,
467,max,187390,187390,
468,max,175472,175472,
469,max,180768,180768,
470,max,183417,183417,
471,max,177921,177921,
472,max,180760,180760,
473,max,266842,266842,
474,max,174342,174342,
475,max,266844,266844,
476,max,180765,180765,
477,max,174347,174347,
478,max,180767,180767,
479,max,181498,181498,
480,max,182611,182611,
481,max,189175,189175,
482,max,181491,181491,
483,max,180149,180149,
484,max,182619,182619,
485,max,181494,181494,
486,max,184472,184472,
487,max,174595,174595,
488,max,174907,174907,
489,max,188774,188774,
490,max,174901,174901,
491,max,174900,174900,
492,max,177243,177243,
493,max,181368,181368,
494,max,184272,184272,
495,max,184273,184273,
496,max,187262,187262,
497,max,266885,266885,
498,max,177249,177249,
499,max,181362,181362,
500,max,181360,181360,
501,max,180549,180549,
502,max,181365,181365,
503,max,177482,177482,
504,max,177481,177481,
505,max,177480,177480,
506,max,177485,177485,
507,max,177489,177489,
508,max,181566,181566,
509,max,190028,190028,
510,max,181562,181562,
511,max,172682,172682,
512,max,171959,171959,
513,max,171958,171958,
514,max,172687,172687,
515,max,172684,172684,
516,max,172685,172685,
517,max,171952,171952,
518,max,172689,172689,
519,max,171954,171954,
520,max,189006,189006,
521,max,182722,182722,
522,max,175090,175090,
523,max,173177,173177,
524,max,184429,184429,
525,max,185013,185013,
526,max,173174,173174,
527,max,176060,176060,
528,max,173171,173171,
529,max,181709,181709,
530,max,181702,181702,
531,max,181705,181705,
532,max,177662,177662,
533,max,177661,177661,
534,max,177114,177114,
535,max,191448,191448,
536,max,177111,177111,
537,max,175538,175538,
538,max,190704,190704,
539,max,175339,175339,
540,max,172196,172196,
541,max,189033,189033,
542,max,172195,172195,
543,max,172192,172192,
544,max,172191,172191,
545,max,172751,172751,
546,max,176380,176380,
547,max,172755,172755,
548,max,171880,171880,
549,max,185709,185709,
550,max,171884,171884,
551,max,176024,176024,
552,max,181141,181141,
553,max,175583,175583,
554,max,181631,181631,
555,max,181148,181148,
556,max,190979,190979,
557,max,175586,175586,
558,max,191538,191538,
559,max,175117,175117,
560,max,176048,176048,
561,max,176045,176045,
562,max,176047,176047,
563,max,176040,176040,
564,max,173561,173561,
565,max,191026,191026,
566,max,178373,178373,
567,max,173818,173818,
568,max,182543,182543,
569,max,173768,173768,
570,max,173810,173810,
571,max,183891,183891,
572,max,172910,172910,
573,max,176144,176144,
574,max,173120,173120,
575,max,173121,173121,
576,max,175904,175904,
577,max,176410,176410,
578,max,176141,176141,
579,max,172363,172363,
580,max,185121,185121,
581,max,176143,176143,
582,max,175407,175407,
583,max,260097,260097,
584,max,191159,191159,
585,max,178155,178155,
586,max,185800,185800,
587,max,185807,185807,
588,max,182817,182817,
589,max,174935,174935,
590,max,173968,173968,
591,max,173969,173969,
592,max,176198,176198,
593,max,175097,175097,
594,max,178407,178407,
595,max,184865,184865,
596,max,176196,176196,
597,max,176445,176445,
598,max,176195,176195,
599,max,179610,179610,
600,max,179612,179612,
601,max,179616,179616,
602,max,175909,175909,
603,max,182136,182136,
604,max,190775,190775,
605,max,182139,182139,
606,max,176226,176226,
607,max,176227,176227,
608,max,179298,179298,
609,max,176221,176221,
610,max,172215,172215,
611,max,172214,172214,
612,max,187460,187460,
613,max,179297,179297,
614,max,176228,176228,
615,max,172210,172210,
616,max,175245,175245,
617,max,187465,187465,
618,max,188941,188941,
619,max,173582,173582,
620,max,173580,173580,
621,max,179059,179059,
622,max,179055,179055,
623,max,179053,179053,
624,max,179051,179051,
625,max,179274,179274,
626,max,179275,179275,
627,max,179272,179272,
628,max,179273,179273,
629,max,178903,178903,
630,max,178901,178901,
631,max,172989,172989,
632,max,178904,178904,
633,max,187728,187728,
634,max,174596,174596,
635,max,174597,174597,
636,max,180810,180810,
637,max,178279,178279,
638,max,174207,174207,
639,max,180818,180818,
640,max,180819,180819,
641,max,175629,175629,
642,max,175628,175628,
643,max,176534,176534,
644,max,176536,176536,
645,max,184042,184042,
646,max,176750,176750,
647,max,178873,178873,
648,max,178871,178871,
649,max,178870,178870,
650,max,178012,178012,
651,max,178014,178014,
652,max,184284,184284,
653,max,178081,178081,
654,max,179874,179874,
655,max,179876,179876,
656,max,179878,179878,
657,max,184043,184043,
658,max,178087,178087,
659,max,183552,183552,
660,max,180608,180608,
661,max,180601,180601,
662,max,180606,180606,
663,max,174118,174118,
664,max,178479,178479,
665,max,187537,187537,
666,max,175750,175750,
667,max,179472,179472,
668,max,174111,174111,
669,max,187657,187657,
670,max,175462,175462,
671,max,171610,171610,
672,max,173624,173624,
673,max,173360,173360,
674,max,185248,185248,
675,max,187532,187532,
676,max,178703,178703,
677,max,173365,173365,
678,max,171619,171619,
679,max,173369,173369,
680,max,178709,178709,
681,max,183777,183777,
682,max,188362,188362,
683,max,183775,183775,
684,max,177873,177873,
685,max,186800,186800,
686,max,181955,181955,
687,max,188160,188160,
688,max,171912,171912,
689,max,266854,266854,
690,max,266853,266853,
691,max,174371,174371,
692,max,180771,180771,
693,max,178924,178924,
694,max,179476,179476,
695,max,175541,175541,
696,max,174576,174576,
697,max,174575,174575,
698,max,183176,183176,
699,max,174571,174571,
700,max,175444,175444,
701,max,185693,185693,
702,max,179881,179881,
703,max,174578,174578,
704,max,182601,182601,
705,max,177141,177141,
706,max,183602,183602,
707,max,172562,172562,
708,max,189167,189167,
709,max,177583,177583,
710,max,177580,177580,
711,max,183243,183243,
712,max,181102,181102,
713,max,184463,184463,
714,max,179254,179254,
715,max,174979,174979,
716,max,188703,188703,
717,max,174976,174976,
718,max,174974,174974,
719,max,180552,180552,
720,max,184261,184261,
721,max,180555,180555,
722,max,177906,177906,
723,max,177904,177904,
724,max,176220,176220,
725,max,187076,187076,
726,max,187070,187070,
727,max,177476,177476,
728,max,177473,177473,
729,max,181556,181556,
730,max,172691,172691,
731,max,172693,172693,
732,max,177295,177295,
733,max,172695,172695,
734,max,172694,172694,
735,max,172699,172699,
736,max,172698,172698,
737,max,189381,189381,
738,max,174802,174802,
739,max,176709,176709,
