,Mode,GeneA,GeneB,Score
0,max,180167,35540,
1,max,178250,35541,
2,max,172799,35234,
3,max,172794,35235,
4,max,178156,35232,
5,max,180168,35546,
6,max,182678,35547,
7,max,174924,35549,
8,max,188757,35239,
9,max,174926,35543,
10,max,171604,40144,
11,max,172554,35230,
12,max,177798,35231,
13,max,181340,36604,
14,max,181343,40140,
15,max,177223,40141,
16,max,181344,43875,
17,max,172939,33925,
18,max,181348,43873,
19,max,173023,43872,
20,max,184451,37223,
21,max,177229,37222,
22,max,176041,37221,
23,max,180264,37732,
24,max,180299,35564,
25,max,180568,37734,
26,max,180291,3346209,
27,max,181589,32429,
28,max,176168,37763,
29,max,189590,3346206,
30,max,179677,3346201,
31,max,171970,32011,
32,max,171973,32017,
33,max,3565765,32016,
34,max,171977,32015,
35,max,177007,32014,
36,max,171978,32019,
37,max,183851,32018,
38,max,181167,44791,
39,max,181166,44790,
40,max,185103,42838,
41,max,176883,42839,
42,max,173151,37798,
43,max,182229,42832,
44,max,173153,42833,
45,max,173873,42830,
46,max,174927,42831,
47,max,259434,37793,
48,max,177647,37792,
49,max,177646,37791,
50,max,177317,37790,
51,max,174322,38503,
52,max,181767,38502,
53,max,177318,38501,
54,max,191464,38508,
55,max,191467,36844,
56,max,176786,36845,
57,max,181019,36846,
58,max,181018,36843,
59,max,172174,36848,
60,max,189676,38644,
61,max,178812,38645,
62,max,182672,38647,
63,max,172849,38643,
64,max,172777,43717,
65,max,172775,36156,
66,max,172773,36154,
67,max,172770,36150,
68,max,172771,36158,
69,max,182458,36159,
70,max,188172,33850,
71,max,172779,33507,
72,max,175710,33852,
73,max,192081,33505,
74,max,190025,33502,
75,max,191687,33503,
76,max,180342,33857,
77,max,176061,33859,
78,max,176067,33509,
79,max,176068,41565,
80,max,191516,41567,
81,max,172016,41566,
82,max,178958,41562,
83,max,173837,41569,
84,max,173783,40857,
85,max,182816,49241,
86,max,175572,40966,
87,max,191199,40967,
88,max,179791,40740,
89,max,172213,40965,
90,max,176782,40963,
91,max,175467,40960,
92,max,175466,40745,
93,max,175464,40749,
94,max,172303,47219,
95,max,172302,47218,
96,max,172301,40327,
97,max,190336,251430,
98,max,182018,318949,
99,max,172309,39594,
100,max,172308,39593,
101,max,189617,39592,
102,max,176668,318947,
103,max,178954,39599,
104,max,176667,31230,
105,max,176660,31237,
106,max,176661,31235,
107,max,185868,31239,
108,max,173496,34558,
109,max,176466,34559,
110,max,173944,34554,
111,max,173945,34550,
112,max,184848,34551,
113,max,179183,44933,
114,max,179639,35939,
115,max,188728,35938,
116,max,179637,35931,
117,max,182124,35930,
118,max,179631,35933,
119,max,175790,35932,
120,max,175792,50417,
121,max,175795,35934,
122,max,175796,50415,
123,max,186108,44481,
124,max,172676,42889,
125,max,172941,31917,
126,max,172943,42885,
127,max,172942,41390,
128,max,172944,43477,
129,max,172946,43476,
130,max,172949,43460,
131,max,172948,43461,
132,max,178320,43466,
133,max,178325,43467,
134,max,178324,31904,
135,max,179522,31905,
136,max,188967,31902,
137,max,176208,31903,
138,max,179526,32225,
139,max,176200,32226,
140,max,180297,32221,
141,max,176206,32222,
142,max,176204,32228,
143,max,176205,41066,
144,max,178692,41829,
145,max,178696,41820,
146,max,178695,41822,
147,max,178926,41823,
148,max,178929,41824,
149,max,178928,43689,
150,max,178698,43682,
151,max,183859,43683,
152,max,174076,43681,
153,max,187747,246412,
154,max,187502,36309,
155,max,175757,36308,
156,max,175089,36303,
157,max,178211,36301,
158,max,175677,36307,
159,max,190314,36306,
160,max,183226,36304,
161,max,175086,42481,
162,max,183220,42339,
163,max,175080,42484,
164,max,176516,42333,
165,max,176517,34421,
166,max,175868,48228,
167,max,176512,45879,
168,max,175649,41359,
169,max,176511,48224,
170,max,189961,45875,
171,max,174279,48552,
172,max,175861,41350,
173,max,175860,41351,
174,max,175867,31169,
175,max,176519,38150,
176,max,178079,44653,
177,max,178078,42158,
178,max,174515,41179,
179,max,173237,41173,
180,max,178072,41176,
181,max,173232,41177,
182,max,179854,41174,
183,max,175886,40887,
