,Mode,GeneA,GeneB,Score
0,max,180167,114785,
1,max,178250,114783,
2,max,172799,221545,
3,max,172794,114781,
4,max,178156,221547,
5,max,180168,246176,
6,max,182678,28996,
7,max,174924,28991,
8,max,188757,148156,
9,max,174926,28999,
10,max,171604,28998,
11,max,172554,55293,
12,max,177798,55290,
13,max,181340,5989,
14,max,181343,55296,
15,max,177223,55297,
16,max,181344,55294,
17,max,172939,55295,
18,max,181348,5982,
19,max,173023,5983,
20,max,184451,5980,
21,max,177229,5981,
22,max,176041,51263,
23,max,180264,5987,
24,max,180299,5984,
25,max,180568,5985,
26,max,180291,55344,
27,max,181589,55345,
28,max,176168,83549,
29,max,189590,55614,
30,max,179677,140730,
31,max,171970,55615,
32,max,171973,128872,
33,max,3565765,128876,
34,max,171977,55610,
35,max,177007,53904,
36,max,171978,142940,
37,max,183851,83547,
38,max,181167,57484,
39,max,181166,6794,
40,max,185103,6795,
41,max,176883,6792,
42,max,173151,6790,
43,max,182229,57486,
44,max,173153,56126,
45,max,173873,56128,
46,max,174927,283807,
47,max,259434,85458,
48,max,177647,29940,
49,max,177646,270,
50,max,177317,55837,
51,max,174322,272,
52,max,181767,273,
53,max,177318,274,
54,max,191464,55833,
55,max,191467,276,
56,max,176786,278,
57,max,181019,279,
58,max,181018,55839,
59,max,172174,81853,
60,max,189676,1371,
61,max,178812,26122,
62,max,182672,84918,
63,max,172849,221960,
64,max,172777,57478,
65,max,172775,9529,
66,max,172773,9256,
67,max,172770,9525,
68,max,172771,9526,
69,max,182458,85359,
70,max,188172,9520,
71,max,172779,9253,
72,max,175710,9522,
73,max,192081,57473,
74,max,190025,26017,
75,max,191687,55291,
76,max,180342,1370,
77,max,176061,84126,
78,max,176067,84128,
79,max,176068,84129,
80,max,191516,1212,
81,max,172016,727897,
82,max,178958,64902,
83,max,173837,26025,
84,max,173783,10892,
85,max,182816,124359,
86,max,175572,203611,
87,max,191199,55299,
88,max,179791,133690,
89,max,172213,22874,
90,max,176782,147872,
91,max,175467,22870,
92,max,175466,22871,
93,max,175464,22872,
94,max,172303,22873,
95,max,172302,51260,
96,max,172301,22878,
97,max,190336,22879,
98,max,182018,84699,
99,max,172309,138046,
100,max,172308,84690,
101,max,189617,84693,
102,max,176668,3516,
103,max,178954,3514,
104,max,176667,2688,
105,max,176660,26191,
106,max,176661,91,
107,max,185868,90,
108,max,173496,93,
109,max,176466,92,
110,max,173944,95,
111,max,173945,94,
112,max,184848,97,
113,max,179183,83478,
114,max,179639,83473,
115,max,188728,1376,
116,max,179637,1043,
117,max,182124,152877,
118,max,179631,388474,
119,max,175790,84727,
120,max,175792,100033435,
121,max,175795,100033433,
122,max,175796,100033430,
123,max,186108,133522,
124,max,172676,29765,
125,max,172941,29767,
126,max,172943,29766,
127,max,172942,29761,
128,max,172944,29760,
129,max,172946,29763,
130,max,172949,1176,
131,max,172948,1175,
132,max,178320,1174,
