,Mode,GeneA,GeneB,Score
0,max,180167,23994,
1,max,178250,23996,
2,max,172799,23997,
3,max,172794,378462,
4,max,178156,19713,
5,max,180168,19712,
6,max,182678,625811,
7,max,174924,18087,
8,max,188757,286940,
9,max,174926,19718,
10,max,171604,11546,
11,max,172554,22668,
12,max,177798,26379,
13,max,181340,11545,
14,max,181343,244349,
15,max,177223,26374,
16,max,181344,22661,
17,max,172939,26371,
18,max,181348,26370,
19,max,173023,73016,
20,max,184451,214899,
21,max,177229,234582,
22,max,176041,107885,
23,max,180264,26572,
24,max,180299,22260,
25,max,180568,107392,
26,max,180291,546695,
27,max,181589,19159,
28,max,176168,19158,
29,max,189590,73086,
30,max,179677,16423,
31,max,171970,19401,
32,max,171973,16671,
33,max,3565765,19373,
34,max,171977,16679,
35,max,177007,16678,
36,max,171978,74838,
37,max,183851,56233,
38,max,181167,110310,
39,max,181166,12700,
40,max,185103,12703,
41,max,176883,12702,
42,max,173151,12705,
43,max,182229,12704,
44,max,173153,665113,
45,max,173873,668626,
46,max,174927,22003,
47,max,259434,235380,
48,max,177647,22004,
49,max,177646,27370,
50,max,177317,13602,
51,max,174322,27373,
52,max,181767,27374,
53,max,177318,192176,
54,max,191464,13609,
55,max,191467,83409,
56,max,176786,78092,
57,max,181019,23849,
58,max,181018,27176,
59,max,172174,65960,
60,max,189676,231214,
61,max,178812,20870,
62,max,182672,64704,
63,max,172849,64705,
64,max,172777,140546,
65,max,172775,64707,
66,max,172773,623094,
67,max,172770,75725,
68,max,172771,104662,
69,max,182458,16490,
70,max,188172,16492,
71,max,172779,233833,
72,max,175710,13542,
73,max,192081,13543,
74,max,190025,16706,
75,max,191687,13548,
76,max,180342,17758,
77,max,176061,11735,
78,max,176067,105000,
79,max,176068,22666,
80,max,191516,12018,
81,max,172016,69082,
82,max,178958,12015,
83,max,173837,74120,
84,max,173783,12017,
85,max,182816,74122,
86,max,175572,245828,
87,max,191199,12013,
88,max,179791,74126,
89,max,172213,17258,
90,max,176782,100017,
91,max,175467,26397,
92,max,175466,26396,
93,max,175464,26390,
94,max,172303,72074,
95,max,172302,52463,
96,max,172301,26399,
97,max,190336,15481,
98,max,182018,11764,
99,max,172309,17257,
100,max,172308,101943,
101,max,189617,19014,
102,max,176668,56195,
103,max,178954,18186,
104,max,176667,20740,
105,max,176660,20742,
106,max,176661,73495,
107,max,185868,100039163,
108,max,173496,104718,
109,max,176466,64290,
110,max,173944,67241,
111,max,173945,244667,
112,max,184848,233651,
113,max,179183,15201,
114,max,179639,52163,
115,max,188728,75617,
116,max,179637,64050,
117,max,182124,11636,
118,max,179631,75613,
119,max,175790,16818,
120,max,175792,74237,
121,max,175795,235567,
122,max,175796,330914,
123,max,186108,70069,
124,max,172676,19338,
125,max,172941,227656,
126,max,172943,21926,
127,max,172942,11614,
128,max,172944,71099,
129,max,172946,12122,
130,max,172949,12125,
131,max,172948,21929,
132,max,178320,23900,
133,max,178325,53607,
134,max,178324,53605,
135,max,179522,18458,
136,max,188967,53602,
137,max,176208,11949,
138,max,179526,14130,
139,max,176200,11947,
140,max,180297,18451,
141,max,176206,70247,
142,max,176204,18457,
143,max,176205,11941,
144,max,178692,27993,
145,max,178696,27998,
146,max,178695,70584,
147,max,178926,70392,
148,max,178929,16924,
149,max,178928,54169,
150,max,178698,102626,
151,max,183859,16922,
152,max,174076,170930,
153,max,187747,18854,
154,max,187502,211550,
155,max,175757,23863,
156,max,175089,54422,
157,max,178211,12234,
158,max,175677,70661,
159,max,190314,54427,
160,max,183226,195333,
161,max,175086,73379,
162,max,183220,14620,
163,max,175080,71828,
164,max,176516,71824,
165,max,176517,14629,
166,max,175868,58218,
167,max,176512,216527,
168,max,175649,20419,
169,max,176511,26441,
170,max,189961,14682,
171,max,174279,20416,
172,max,175861,20410,
173,max,175860,20411,
174,max,175867,70804,
175,max,176519,14683,
176,max,178079,219158,
177,max,178078,84585,
178,max,174515,435489,
179,max,173237,106628,
180,max,178072,58185,
181,max,173232,620946,
182,max,179854,67030,
183,max,175886,13845,
184,max,179853,328059,
185,max,179850,78284,
186,max,179851,237523,
187,max,178857,54393,
188,max,178583,13057,
189,max,178850,100535,
190,max,178581,18701,
191,max,178852,238091,
192,max,180622,108829,
193,max,175772,18704,
194,max,174680,68910,
195,max,178102,18709,
196,max,178101,18708,
197,max,178452,67588,
198,max,178455,14247,
199,max,174685,14245,
200,max,174686,17973,
201,max,178104,17829,
202,max,178459,17828,
203,max,174689,234959,
204,max,174130,56430,
205,max,186725,14248,
206,max,259546,68263,
207,max,188340,20258,
208,max,171635,99730,
209,max,185264,56878,
210,max,185268,18746,
211,max,172704,225471,
212,max,189214,208727,
213,max,173309,20257,
214,max,188180,100043797,
215,max,188265,14394,
216,max,179024,53356,
217,max,188189,67661,
218,max,173306,216795,
219,max,178043,19182,
220,max,172329,29810,
221,max,184199,12491,
222,max,177815,12494,
223,max,174358,15441,
224,max,183155,68828,
225,max,183403,76572,
226,max,266874,18148,
227,max,174350,213827,
228,max,180756,76088,
229,max,180750,76089,
230,max,173347,67694,
231,max,172783,18141,
232,max,181480,18140,
233,max,181481,16514,
234,max,181486,224656,
235,max,181484,75273,
236,max,172784,12068,
237,max,174911,58521,
238,max,173016,110835,
239,max,172549,634019,
240,max,174915,50709,
241,max,172545,50708,
242,max,173962,16880,
243,max,172542,66184,
244,max,180481,66185,
245,max,180285,50701,
246,max,181378,59035,
247,max,177254,59013,
248,max,184441,18749,
249,max,181807,238871,
250,max,181800,216440,
251,max,181801,66614,
252,max,177497,77976,
253,max,181578,67219,
254,max,177493,66341,
255,max,181577,76884,
256,max,181574,234374,
257,max,172276,66164,
258,max,180575,330627,
259,max,180577,214669,
260,max,187256,13831,
261,max,182593,77579,
262,max,177079,106393,
263,max,171949,69681,
264,max,171944,241066,
265,max,177073,13838,
266,max,171947,108121,
267,max,181398,66980,
268,max,173158,12709,
269,max,190137,12831,
270,max,177856,209630,
271,max,173162,67967,
272,max,173165,66538,
273,max,173167,674895,
274,max,173168,380928,
275,max,185003,213783,
276,max,181718,66505,
277,max,181719,11419,
278,max,266900,239673,
279,max,181712,110637,
280,max,181713,13872,
281,max,181711,676923,
282,max,181020,504193,
283,max,177107,225895,
284,max,181022,107993,
285,max,176902,72416,
286,max,177102,13726,
287,max,191329,228598,
288,max,181029,77113,
289,max,191456,225898,
290,max,186299,77116,
291,max,171646,664799,
292,max,177108,244813,
293,max,171857,11867,
294,max,172164,103573,
295,max,182286,26564,
296,max,175413,14376,
297,max,179684,26563,
298,max,172766,19386,
299,max,173028,77286,
300,max,190777,19418,
301,max,184611,22273,
302,max,171890,19184,
303,max,184613,19411,
304,max,172769,22278,
305,max,172768,50782,
306,max,185718,101185,
307,max,181626,19417,
308,max,181624,19367,
309,max,177764,16661,
310,max,181620,73274,
311,max,181621,19363,
312,max,192091,19360,
313,max,181158,19361,
314,max,190032,104383,
315,max,191528,56222,
316,max,185479,94232,
317,max,176072,94230,
318,max,176074,209446,
319,max,173558,23967,
320,max,191525,383769,
321,max,191526,110308,
322,max,181010,74006,
323,max,173793,59287,
324,max,173822,66597,
325,max,185679,140557,
326,max,173826,23872,
327,max,185670,23871,
328,max,185673,23877,
329,max,176463,13619,
330,max,190243,27385,
331,max,188549,23879,
332,max,175249,13617,
333,max,172372,100039229,
334,max,172373,140559,
335,max,172370,494448,
336,max,172371,19704,
337,max,182058,27140,
338,max,191143,93687,
339,max,172374,73381,
340,max,172375,100710,
341,max,172219,93688,
342,max,187528,19708,
343,max,172218,11287,
344,max,185875,55994,
345,max,185873,59043,
346,max,179111,51944,
347,max,185870,99982,
348,max,176674,100039827,
349,max,184873,56040,
350,max,173958,56041,
351,max,173955,57261,
352,max,173954,16480,
353,max,173956,235283,
354,max,176471,22702,
355,max,179296,73723,
356,max,173953,13537,
357,max,173952,11754,
358,max,176694,14433,
359,max,172216,140887,
360,max,179629,12009,
361,max,179198,12006,
362,max,179624,12005,
363,max,179627,80743,
364,max,174956,12000,
365,max,176229,243897,
366,max,186111,16392,
367,max,190148,230895,
368,max,174957,16391,
369,max,190381,16396,
370,max,189639,30953,
371,max,172978,26380,
372,max,173587,26381,
373,max,175526,101023,
374,max,175255,14536,
375,max,172204,26388,
376,max,172977,104015,
377,max,172970,104721,
378,max,175252,107528,
379,max,172201,20739,
380,max,183628,269338,
381,max,179533,14087,
382,max,179535,666342,
383,max,179534,17283,
384,max,179537,14163,
385,max,176211,17287,
386,max,176210,17286,
387,max,172992,17285,
388,max,172993,17535,
389,max,178669,57294,
390,max,178914,17537,
391,max,179440,17536,
392,max,178912,75196,
393,max,182626,17532,
394,max,191847,100042799,
395,max,180127,13449,
396,max,182968,13448,
397,max,259801,16800,
398,max,178260,16801,
399,max,174232,84113,
400,max,189950,11994,
401,max,174234,11622,
402,max,174236,217718,
403,max,174239,64930,
404,max,174238,21934,
405,max,189959,69188,
406,max,172074,21937,
407,max,176504,100039556,
408,max,175638,229603,
409,max,176506,235604,
410,max,176503,11628,
411,max,176854,97212,
412,max,175630,217342,
413,max,176858,53610,
414,max,175636,57314,
415,max,175637,11979,
416,max,175634,100042148,
417,max,173229,53617,
418,max,182949,67245,
419,max,184295,70233,
420,max,178006,11977,
421,max,178007,70726,
422,max,182945,11975,
423,max,183097,11974,
424,max,3565259,100043163,
425,max,179841,20649,
426,max,179842,75062,
427,max,172981,27966,
428,max,178863,17755,
429,max,187080,620659,
430,max,184487,17756,
431,max,183098,236732,
432,max,178208,238330,
433,max,180969,13198,
434,max,180616,13193,
435,max,187645,106389,
436,max,180611,13191,
437,max,180612,18844,
438,max,180961,13196,
439,max,179997,13194,
440,max,174129,12226,
441,max,174699,12227,
442,max,174698,12224,
443,max,174697,70650,
444,max,174124,66056,
445,max,188640,70834,
446,max,174121,14870,
447,max,179375,26965,
448,max,179999,71831,
449,max,174690,71833,
450,max,171627,71834,
451,max,171621,71835,
452,max,173311,108723,
453,max,178711,107702,
454,max,172826,107701,
455,max,189773,98932,
456,max,173319,20393,
457,max,183700,20391,
458,max,181961,238880,
459,max,174247,20467,
460,max,180952,20466,
461,max,178482,21427,
462,max,3564942,58198,
463,max,190954,21425,
464,max,177800,21422,
465,max,179693,21423,
466,max,177808,18933,
467,max,187390,19876,
468,max,175472,170791,
469,max,180768,67025,
470,max,183417,21428,
471,max,177921,21429,
472,max,180760,209011,
473,max,266842,18783,
474,max,174342,380664,
475,max,266844,22201,
476,max,180765,20972,
477,max,174347,223691,
478,max,180767,12955,
479,max,181498,54189,
480,max,182611,12951,
481,max,189175,12952,
482,max,181491,12953,
483,max,180149,76365,
484,max,182619,56208,
485,max,181494,71746,
486,max,184472,18711,
487,max,174595,18712,
488,max,174907,71745,
489,max,188774,54343,
490,max,174901,13171,
491,max,174900,14270,
492,max,177243,216739,
493,max,181368,20262,
494,max,184272,11846,
495,max,184273,108030,
496,max,187262,230257,
497,max,266885,17833,
498,max,177249,66961,
499,max,181362,108037,
500,max,181360,69642,
501,max,180549,67112,
502,max,181365,68585,
503,max,177482,380718,
504,max,177481,68581,
505,max,177480,29808,
506,max,177485,20979,
507,max,177489,18626,
508,max,181566,18627,
509,max,190028,18628,
510,max,181562,353190,
511,max,172682,13176,
512,max,171959,68612,
513,max,171958,74123,
514,max,172687,68611,
515,max,172684,15450,
516,max,172685,15904,
517,max,171952,15902,
518,max,172689,15903,
519,max,171954,15900,
520,max,189006,15901,
521,max,182722,171530,
522,max,175090,327987,
523,max,173177,237868,
524,max,184429,381085,
525,max,185013,76507,
526,max,173174,12010,
527,max,176060,59007,
528,max,173171,59004,
529,max,181709,108100,
530,max,181702,59001,
531,max,181705,67685,
532,max,177662,18150,
533,max,177661,54720,
534,max,177114,216274,
535,max,191448,26395,
536,max,177111,12983,
537,max,175538,13806,
538,max,190704,110809,
539,max,175339,77963,
540,max,172196,269639,
541,max,189033,18600,
542,max,172195,11441,
543,max,172192,78656,
544,max,172191,67203,
545,max,172751,67204,
546,max,176380,268465,
547,max,172755,109857,
548,max,171880,67755,
549,max,185709,16663,
550,max,171884,72135,
551,max,176024,240084,
552,max,181141,665782,
553,max,175583,665780,
554,max,181631,232811,
555,max,181148,50884,
556,max,190979,13844,
557,max,175586,109181,
558,max,191538,245583,
559,max,175117,59083,
560,max,176048,66406,
561,max,176045,12578,
562,max,176047,66403,
563,max,176040,230674,
564,max,173561,94332,
565,max,191026,66978,
566,max,178373,67972,
567,max,173818,67973,
568,max,182543,11816,
569,max,173768,107260,
570,max,173810,66970,
571,max,183891,12822,
572,max,172910,30946,
573,max,176144,110750,
574,max,173120,30945,
